QueryText,KccAns
asked about fertilizer management ion cotton,"otton-fertilizer management-suggested that for cotton hybrids 105kg urea+150kg super phosphate+40kg potash should be apllied.150kg super phosphate should be applied at the time of last ploughing,urea+potash should be applied in 3split doses 35kg urea+15kg potash in each dose at 30,60,90 days after sowing"
asked about mealy bug in cotton,suggested to spray dichlorovos @ 2ml/lt
control of sucking pest in cotton,spraying of dimthioate 2 ml/lit water
white fly damage,spraying of triazophos 2.0 ml per one lit of water
cotton aphids damage,spraying of mithyl dematon 2.0 ml per one lit of water
asked about the control of white flys,recommended to spray dimethoate 2ml/lit
asked about control of reddening of leaves,spray mgso4 10gms/lit
asked about control of whiteflys,recommended to spray 2ml/lit prophenophose+ 1ml/ lit sandovit
asked about control of sucking pest,spray monocrotophose 1.5ml/lit
asked about inmprove the flowering,spray cycocil 60ppm
micro nutrient defficiency(mg),mg sulphate 10 gr/ 1lt water
controll ofgreen leaf hopper,spraying of imidachloprid 0.6 ml / lit of water
asked about control of mg deficiency,spray mgso4 10gms/lit
asked about control of flower drop,spray naphthaline acetic acid 10ppm + dap 1-2%
asked about control of whitefly,spray 2ml/lit trizophose+5ml neemoil
asked about fertilizer,provided information as per vyavasaya panchangam
asked about gvt support of failed seeds bayer company,provided information as per data
control of aphids in cotton,brishing of 1lit monocrotophos /4 li of water
asked about control of boron deficiency,spray borax 1-1.5gm/lit
control of znso4 in cotton,spraying znso4 2gr/1 lit water
control of weeds in cotton,spraying parauueate 2ml/1 lit water
asked about the fertilizer management,given infermation as per the data
herbicides in rice at 20 days age,"application of 2,4-d for controlling of broad leaved weeds"
asked about control measures for sucking pest in cotton,suggested to spray dimethioate 2ml/lit
asked for the sucking pest control in cotton,suggested to spray monochrotophos 1.5ml/lit water
asked for control of sucking pest in cotton,suggested to spray monochrotophos 1.5ml/lit
asked about control of mealy bug in cotton,suggested to spray prophoniphos 3ml/lit
aphids in cotton,spraying of phipronil @ 2ml/lt
control of weed in cotton,sparying paraquate 2ml/1 lit water
suitable seed enquiry,b2 varities
control of mgso4 in cotton,spraying mgso4 10gr/1 lit water
control of power mildu in contton,1lit monocrotophos mixed with 4 lit water ofter brishing
cotton weed controle,paraquat 24%/200 lt water
information reg fertilizer dosage in cotton,information is given as per panchangam
asked about mg effect,spray mgso4 10gm/1lit of water
pests controle in cotton,spray imidochlopride
asked about reddening of leaves,suggest to spray urea
asked about rabi cotton,suggestrd not go for rabicrop
asked about control of flower drop in cotton,suggested to spray planofix@2ml per  10 lit water
asked about spraying,suggested as per data
asked about  reddening of leaves,suggest him to spray micromax
asked about spraying fo pesticide before picking,suggest to spray after picking
control of leaf spots in cotton,spraying of mancozeb 3 grm/litre water
sucking pest in cotton,spraying of imidachlorpid@ 30 gm/acre
red mite attack in cotton,spraying of dicofol@ 5 ml/lt
asked about  aphid,suggest to spray dimethoate
asked about chemical usage,suggested as per data
boll worm in cotton,spraying of chloripyriphos@ 2.5 ml/lt
micronutrients in cotton,multi k or formula 7
control of reddening of leaves in cotton,spraying of mgso4 10 grms/lit water
asked about aphids,suggest to spray dimethoate 2ml per lit
control of spodoptera in cotton,spraying of prophinophas 2ml/litre water
asked about sowing season of cotton,feb
askjed about redening of leaves,suggest to spray  urea
asked about   good flowering,suggest to spray borax
asked about white flies in cotton,suggest to spray trizophos
asked about goodgrowth of  cotton,suggest to spray 19
asked about flyes,suggested acephate
sucking pest of cotton,spraying of acephate@ 1.5 gm/lt
aphid in cotton,spraying of imidachlorpid@ 50 ml/acre
control of green leaf hopper,spraying of imidachloprid 0.6 ml / lit of water
asked about the control of weeds before sowing,recommended to srpay flucloralin 1-1.5lit/acer
asked about control of stem & fruit cracking,recommended to spray borax 1.5gm/lit water
asked about control of g.l.h,recommended to spray imidacloprid
varieties of bt cotton,"jadu,parivardan"
control of leaf spot in cotton,sprayng of mancozeb 3grm/ltr
control of sucking pests in cotton,imidachloprid 50ml/acre
reddening of cotton leaves,mgso410g/lit
control of hoppers in cotton,aplad@300ml/lit
asked about post harvest implements,given as per agrisnet
root rot in cotton,spraying carbondysm 1gm/ltr
asked about wilt,spraying copar oxychloride 3grms/ltr
cultural practices in cotton,suggested as per data
control of mealybugs in cotton,pholidol@2ml/lit
weed control in cotton,pendimethalin400&#3086
control of flower drop,given as per data
control of borers,spraying of quinolphas 2 ml/lit water
asked about yvmv,suggest to spray acephate
control of boron deficiency,spraying of boran 3 grms/lit water
asked about scking pest,acephate 300g/ac
nutrient management in cotton,"urea 35 kg/acre, potash -16 kg/acre"
control of fruit drop in cotton,spraying of planofix 3ml/10lit water
sucking pests in cotton,acephate@1.5g/lit
nutrient deficiency in cotton,multi-k @ 5 ml/lt
reddening of cottn leaves,mgso4@10g/lit
holes are observed,spray dimethoate
pest under leaf(thrips),spray dimethoate
mealy bugs control in cotton,triazophos@300ml/acre
asked about flowering in cotton,apply potash fertilizers
white flies damage in cotton,imidachlorpid@ 60 gm/acre
yellow mosaic virus,spray dimethoate
magnesium deficiency in cotton,mgso4@ 10 gm/lt
mg deficiency in cotton,mgso4@10g/lit
when can cotton grown,june-july
asked about  leaf folding in cotton,suggest to spray acephate 1.5g per lit
control of weeds,alachlor 1.5lit/ac
powdery mildew in cott0n,wettable sulphur@ 3 gm/lt
asked about control of flower drop and reddening of leaves,planofix 2.5ml/10lit and magnesium sulphate 10gm/lit
cotton control flower drop,recommended to spray planofix@50ml/acre
cotton mg defienecy and sucking pests,"mgso4 10gr/ lt water
ulala 75gr/acre in 200 lt water"
farmer call center,recommended 1800-425-4440
midges in flowers,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml per acre"
"mg deficiency
in cotton","mgso4 10g+urea 2g/lit-spray
benomil 200g/acre"
asked to use  calicium nitrate in  cotton,recomended to spray calicium nitrate  for boll development
"cotton flower drop 
marigold powdery mildew","naa 10 ppm should be sprayed at 10-15 days interval
netivo 160gr/acre in 200 lt water"
cotton leaf spot,copper oxy chloryde 3grm/acre
leaf blight spots,30g copper oxy chloride+1g streptocyclin/10 lit of water
cotton megnesium deficiency,spray megnesium sulphate 10g + urea 10g/l.
flower dropping in cotton,spray of planofix 4ml/20l of water
cotton white fly,oberan 200ml/acre
cotton to control flower drop,recommended to spray naa 10ppm
white fly and flower drop in cotton,"recommended for oberan 180 ml/ acre, planofix 2ml/ 10lt water"
"nutrient deficiency
in cotton","agromin max 1kg/acre
(13-0-45)multi-k  1kg/acre
benomil 200g/acre"
for blackarm in cotton,spraying of blitox 600gms+plantomycin 20gms/200lt
asked about flower drop,recommended planofix 2.5 ml/10 lit of water
black spot in cotton,recomended blitex30g+plantomycin 1g+10 lit water
cotton mite and white fly,recommended spray oberan 200 ml/ acre in cotton
cotton  sucking pest,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml per acre"
cotton micro nutrient deficiency,spray agromin max 1kg/ac.
bacterial leaf spot,blitox 30 grams + plantamycine 2ml per 10 litre
cotton  white fly,"recomended confider 60ml/acre 200 lt water
mgso4 10gr in 1 lt water
multi-k 1kg/acre 200 lt water"
cotton powedry mildew,carbendazim 1gm/ lit
for aphids in cotton,spraying of load with confidor is suggested
mg def in cotten,10 gr mgso4+0.5 multi k /lit
redding of leaves,30g copper oxy chloride+1g streptocyclin/10 lit of water
cotton to flower,recommended spraying of multi k@ 1kg/acre
leaf hoppers in cotton,spraying of markar 400ml+acephate 300gms/200lt
cotton flower drop and growth,planofix 50ml/acre and multi-k 1kg/acre in200 lt water
cotton black spots,spray 30 grams copper oxy chloride+ 1 gram streptocyclin per 10 litres
asked cotton flowerdrop,planopix 2.5ml/acre
cotton blackb arm,plantamycin 1gm/lt+coc 3gm/lt spray 3times in 15 days
cotten in whitefly &mites,recomended for oberan 180 ml/acr
cotton flowering and growth,recommended to multi k 1kg/acre
"fungal infection
in cotton","saaf 2.5g/acre
muilti k-1kg/acre (13-0-45)
agromin max 1kg/acre"
wilt in coton,recommended to spray spray 30 grams copper oxy chloride+ 1 gram streptocyclin per 10 litres    10 ??????? ?????? 30 ???????? ????????? ????? ?? ???? ??????????????????
control of  pandaku tegulu in cotton,spray  magnesium   sulphuate  10 gr /  lit  of  water
aseked  about flower drop,recommended planofix 2.5 ml/10 lit of water
cotton growthing pblm,muiti k 1kg/acare
leafhoppers in cotton,"recommended to spray dimethoate(rogar, rogarin) 400 ml per acre"
cotton white flies,spray ulaala 75g/ac.
yelloing of cotton,recommonded spray of multi-k 5 grams/litre in cotton
control of flower drop i coton,planofix 5 ml / 20 lit of water
cotton helimentho soporium spot,"recommended to propiconazole (tilt, radar)  200 ml per acre"
cotton flower arrival,recomended to spraying of planofix 50ml/acre
cotton sprey fertilizers,"?????  ??  1 ??. ??  /????  ?? ?? ???????? ?????? ,recommended to multi k 1kg /acre"
cotten flower drop,planofix 2ml/10 lit water
cotton market information,4450
cotton flowering problm,planopix 2ml/10lit water
cotton white fly and helicoverpa,recommended to monocrtopos +acephate
cotten nutrient deficeancy,agrominmax 1kg/acr
white fly in cotton,"recomended for oberon 180ml/acre,or  ualala 75grms/acre, or confider super 50ml/acre"
black spots in cotton,spray 30 grams copper oxy chloride+ 1 gram streptocyclin per 10 litres
cotton boll dropping,recommended to planofix 5ml /20lit and dap 10gm/lit
cotton mealy bug,recommended to meythyk parathione(matasid) 400ml/acre
controlo  faphid   in cotton,actara    70    gr / acre
asked about boll drop,recommended bureaux 1.5 grams/lit of water
"sucking pests
in cotton","acephate 300g/acre
multi k-1kg/acre (13-0-45)
agromin max 1kg/acre"
cottan flower drop,recomended in planofix 2.5ml/10lt water
powdery form on cotton leavs,recomended for nuvan 250ml/acre
asked about vermi compost for cotton,recommended one tonne /acre
powdery mildew in cotton,recommended spray saaf 2 gram/ litre in cotton
saucking  pest in cotton,recomended actara 40 g/acre
whitefly on cotton,spray of ulala 75gm/acr
can we sown cotton this month,no. cotton sowing is not suitable
cotton sucking pests,recomended ulala 75gr /acre 200 lt water
whitefly in cotton,recommendation of oberon 200ml/200lt or nagata 300ml/200lt
for growth i n cotton,19 19 19       1kg / acre
sucking pest damage,propinophos 400ml/acre
"sucking pest damage
in cotton","marshal 300ml/acre
agromin max 1kg/acre
(13-0-45)multi-k  1kg/acre"
control of redding of   leaves,spray  magnesium sulphuate   10 gr  / lit of water +  urea  0 gr / lit of water
asked about tobacco streak virus,recommended diofenthueuron 240 grams/200 lit of water
black arm in cotton,recomended blitex 30g+plantomycin 1g+10lit water
for leaf hoppers and whitefly in cotton,spraying of marker 400ml/200lt+pride 100gmsnext bluecopper 600gms+kcycline 24gms/200lt
cotton market rate,kurnool  banaganapalli  7  mungari (ginned)  tonnes  3750  4250  4000  rs./quintal
green fly in coten,neem oil 5ml/lit
cotton flower drop,recommended spray of multi-k 5 grams/ litre on cotton
"white fly
in cotton",oberon 150-200ml/acre
aphid damage in cotton,acephate 1.5 g/ltr
asked cotton water management,6 irrigations will be given in rabi cotton
red sports on cotton leavs,recomendedfor megnisium sulphate 10grs/lt water
cotton sucking pests and growth,"recomended confider 60ml/acre in 200 lt water 
bio-zyme 400ml/acre in 200 lt water"
"growth, white mousquito","recomended for multi k 5grams/1 lt water, ulala 75grams/acre"
asked about cotton market rates,minimum 3880min and max4000
cotton black arm,blitox 600 gr/acre  and  plantomycin  1 gr/10 lt water
cotton pandaku tegulu,megnisium sulphate and urea
for gallmidge in cotton,spraying of larvin 300gms/200lt
cotton grow thing,spray 19:19:19 1kg/ac. agromin max 1kg/ac.
cotteen mangu disease,profenopas 2ml /lit
cotten cercosporaleaf spot,coc 30 gr+1gr plantomycin/10lit
cotten market information,4050
cotten growth appilication,recomended multi k 1 kg/acr
improve flowering in cotton,multi k   5gr / lit of  water
leafhoppers and whitefly in cotton,spraying of markar 400ml+acephate 300gms/200lt
weedicide in cotton,contact to 1800 425 4440
flower drop in cotten,planofix 2ml/l0 lit water
cotten irrigation management,10 days interval
asked cotton white fly,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml per acre   recommended to spray quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre"
cotton boll worms,recommanded for fame 50ml/acre
catter piller in cotton,recommended  fem 40ml/acre
cotton  black spots,blitox 600 gr/acre   and  plantomycin 1 gr/10 lt water
control of   aphids    in     cotton,actara     70   gr  / aacre
boll drop in cotton,recommended spray of planofix 2ml/ 10 litre in cotton
cotton culture practicves,recommended to all
cotton sucking pest and flower drop,"confider 60ml/acre 200 lt water
planofix 50ml/acre 200 lt water"
cotton cercosporaleaf spot,coc 30 gr+1 gr streptocyclin /10 lit
for growth in cotton,spraying of urea 2kgs/200lt
whight fly in cotton,ulala 75ml/150ml water/acare
cotton pindi nalli,recommended to acephate 3ml/lit
growthing in cotton,multi k 1kg /acre
commencement of flowers in cotton,recommended praying of agrominmax@kg/acre
dying of plant in cotton,drench the soil with blitox 600gms+plantomycin 100gms/200lt
leaf curling in cotton,spraying of trizophas 1 ml/lit water
leaf growth in cotton,multi-k 5gr/ltr
cototon md deficiency and sucking pest,spraying of 1% magnesium sulphate and 2% urea 2 times within one week
sucking pest  in cotton,recomended 0lala75g/acre
trips in cotton,"recommended to spray monocrotophos(nuvacron, phoskil, luphos) 300 ml per acre"
asked for market alerts,you number is updated for market alerts
cotten plant protection,planofix 2ml
zn defficiency in cotton,recommended for zinc sulphate 2 g/1 ltr of water
sprey type fertilizers in cotton,recommended for agromin max 1 kg/acre
leaf scrotch in cotton,to sprey avatar 400 gr/acre
stem borer in cotton,recommended fem 20-40ml/acre
cotton white fly damage,recommend for ulala 75 gm/acere
asked cotton sucking pest,ulala 75 grams
cotton block spots,recommended to spray copper oxi chloride 30gms+1gm streptocyclin in 10lit water
yellowing of cotton,recommended spray of multi-k 5 grams/ litre in cotton
asked about whitefly in cotton,recommended to spray trizophos@300ml/acre
cotton yellowing of leaf,megnisiumsulphate 1grm 1grm urea[/lit water
grwoth and white fly,"recomended for confider super 60ml/acre, multi k 5grams/lt water"
cotton leaf dropping,recommended multi k 1kg/acre
cotoon boll dropping,recommended to planofix 2.5ml/10lit
asked  about sucking  pests,"thiomethoxome (actra, sitara,renova,) 40 grams per acre"
gall midge in cotten,recomende for trizopas 2ml/lit
asked about white fly,recommended to spray flunicamide (ulala)75 grams per acre
white fly in cotten,oberan 180 ml/acr
sprey fertilizers in cotton,agromin max 1 kg/acre
vegitatative growth in cotton,multi-k 5gr/ltr
cottan white fly,trizopas 2.0ml/lt
cotton  leaf blight,blitox 600 gr/acre  and  plantomycin 1 gr/10 lt water
mealy bug in cotton,recommended profenophos 2ml/lit water
cotton fussarium wilt (pandaku tegulu),recommended to mgso4 1% spray and urea 2% spray
cottion sucking pests,recommended to spray spiromecifin (oberon) 400ml/litre
asked about boron deficiency,recommended bureaux 1.5 grams/lit of water
herbicide in cotton standing time,no herbicide. manual weeding necessary
cotton fertilizers at 90das,recommended 16kg nitrogen and 8kg k per one acre
cotton bud broken,boron sprey
"white mousquitos, flower drop","recomended for confider 50ml/ acre, planofix 2.5ml/10lt water"
for whitefly control in cotton,spraying of oberon 200ml/200lt next 13:0:45 1kg/200lt
asked cotton flower drop,reccommanded planopix 2.5/10 liter water
"white flies
leaf curling",spraying of trizophas 1 ml/lit water
mite in cotton,dicofol 5 ml/lit
cotton mg deficiency,recommended to spray of magnesium sulphate 10 grams and urea 20 gram  per litre
control ol leaf  spot in cotton,blitax 30 gr + streptocycline 1 gr / 10 lit of water
pesticides and fertilizers are mixed,it should not be mixed at all
control of pandaku tegulu in cotton,spray magnesium sulphuate    10 gr +   urea 10   gr / lit of water
control  of leaf spot in cotton,blitax   30   gr +  streptocyclin  1   gr   in 10 lir of water
cotton sucking peat,"imidachloprid(confidor, tatamida , victor ,atom  ) 200  ml per acre"
cotton fruit rot,netivo 160grm/acre
improve  flowering in cotton,multi k  5gr / lit of water
cotten mg deficiancy,recomended for mgso4 10 gr/lit
farmers call centre,1800-425-1110(telangana)   1800 425 4440 (andhra)
precipitations expected today and tomarrow,precipitations expected today and tomarrow
alternaria leaf spot,recomended mancozeb 2.5g/lit water
asked about tobaco black shank,recommended to spray blitax@3gm/lit
cotton zn defienecy,cotton znso4 2gr/1 lt water
asked cotton black leaf spots leaf spots,blitax30 grams  + 1 gram plantomaisin
cotton green flies,spray ulaala 75g/ac.
flowee dropping in cotton,recommended to spray planofix 4.5 ml/20 litre
asked about growth in cotton,recommended to spray multik@5gm/lit
assked about whitefly in cotton,"recommended to spray thiomethoxome (actra, sitara,renova,) 40 grams per acre"
cotton red wilt,1%mgso4+2%urea per acre
block spots on cotton leaf,recommended to spray spray 30 grams copper oxy chloride+ 1 gram streptocyclin per 10 litres
asked about cotton whitefly,recommended to spray trizophos@300ml/lit
thanks for calling,thanks for calling
fertilizers use in field,recomended for animal residue use in field
fungal attack blight,recommended blitox 30g+ 2g plantamycin /10liter
cotton growth appilication,recommended for multi k 1kg/acr
leaf droping of cotton,mgso4 2kg+urea 2kg per acere
cotton sucking  pest,oberan 150 -200 ml/acre
for whitefly in cotton,spraying of nagata 350ml/200lt or oberon 200ml/200lt
cotton leaf blight,blitox 600 gr/acre and plantomycin 1 gr/10 lt water
asked about cotton white fly,recommended confidor 50ml/acre
for whitefly and aphids,spraying of oberon 200ml+chloropyriphos 400ml/200lt
white fly in cottan,"triazophos (hostathion, titan, sutathion) 300 ml per acre"
yellowing  of leaves in cotton,spraying of blitox 600gms/200lt+plantomycin 20gms next agrominmax 1kg/200lt+19:19:19 1kg/200lt
for helicoverpa in cotton,spraying of plutora 330ml/200lt
for powderymildew for cotton,spraying of nustar 80ml/200lt next 19:19:19 1kg+siapton400ml/200lt
cotton mg defienecy and growth,"mgso4 10gr/ lt water
agromin max 1 kg/acre"
cotton boll dropping and white fly,recommended to ulala 75gm/acre and planofix 5ml/20lit
control of whiyefiy in cotton,oberan 150  ml / acre
cotton bo defi.,bowaterrax1ml/lit
asked about leaf spot,recommendewd mancozeb 2.5 grams/lit of water
asked about cotton irrigation,recommended to irrigate after 2days
asked cotoon flower drop,planopix 2.5ml/liter
cotton leaf eating caterpilar,recommended spray of rogor 2ml/ litre in cotton
"flower dropping
in cotton","muilti k-1kg/acre (13-0-45)
agromin max 1kg/acre"
midges in cotton,"triazophos (hostathion, titan, sutathion) 300 ml per acre"
reddening in leaves,mgso4 10 gr+20 gr urea per lit
for whitesh in cotton,spraying of boron 300gms/200lt
cotton market rates,market rate
redenning of leaves in cotton,spraying of magnesium 2kgs/200lt+urea 2kgs/200lt
control of flower drop in cotton,boran  2.5 gr/ lit of water
cotton  powdery mildew,"wettable sulphur(sulfex, sultop, )  600 grams per acre"
cotton sucking pests and leaf curling,"monocrotophos(nuvacron, phoskil, luphos) 400 ml per acr"
