QueryText,KccAns
control of spodoptera in groud nut,spraying of monocrotophas 1.6 ml/lit water
asked about fertilizer apllication at 30das,suggested to apply 200 kg of gypsum per acre
observed black spots on leafs,suggested to spray mancozeb
dosge time and methods,suggested as per information
asked about urea spray dosage,suggest to spray 2g per lit
ground nut leaf folder,chloripyriphos 500ml/ac
ground nut tobacco c.p,prohinophos 400ml/ac
asked about micronutrient deficiency,suggest to spray micromax
herbicide in groundnut,spraying of imazithafir@ 2 ml/lt
asked about biofertilers,information is given as per data
asked about herbicide in  groundnut,suggest to spray imazithapyre
asked about zypsum application,appliation of zypsum@ 200 kg/acre
zinc defeciency in groundnut,spraying of zinc sulphate@ 2 gm/lt
asked about  leaf webber,suggest to spray chloripyriphos
spodoptera damage in ground nut,spraying of quinolphos@ 2 ml/lt
asked about pest during flowering,suggest to spray profinophosafter one week spry chloripyriphos
asked about fertilizers  in groundnut,recommended as per data
sucking pest in g.nut,spraying of monocrotophos 2 ml+ acephate 1.5 gm/lt
control of caterpillar in ground nut,spraying of monocrotophas 1.6ml/litre water
control of stem borer in ground nut,information is given as per panchangam
control of ground nut leaf minor in ground nut,spraying of monocrotophas 1.6ml/litre water
whitefly leaf folder,quinolphos 2ml
asked about dosage of coc,suggested to spray 3g/lt of water
asked about ground nut fertilizer dosage,suggestednto apply 100 kg ssp per acre and 33 kg urea
asked about root borer,suggest to apply carbofuran capsules
asked  about rootborer in groundnut,suggest to apply carbofuran capsule
availability of seed,provided contact details of ap seeds corpn
zinc defeciency in g.nut,spraying of zinc sulphate @ 2 gm/lt
asked about control of weed management in groundnut,suggested for manual weeding
sucking pest in ground nut,spraying of acephate@ 1.5 gm/lt
leaf folder pest,quinolphos 2ml
g.nut fertilizers management,"1 bag urea, 1bag ssp and 1/2bag mop, gypsum 200kg for one acre"
zinc def in gnut,spraying of zinc sulphate @ 2 gm/lt
asked about spodoptera in groudnut,suggest to spray thiodicarb
asked about helicoverma,suggested to spray quinolphos
pest in groundnut,spraying of quinolphos@ 2 ml/lt
fertiliser dose in g.nut,explained as per fertiliser schedule
fertilizer dosage for g.nut,25
asked about spodoptersa,spinosad
asked about   irrigation in groundnut,suggest him to irrigate before starting flowering
asked about control of sucking pest in gropundnut,suggested to spray monochrotophos@320ml per acre
asked about irrigation,suggesst him give irrigation before flowering
asked about  zypsum dosege,suggest to apply 200kgs per acre
erect bushy type,given
leaf  folder in g nut,spraying of chloripyriphos @ 2.5 ml/lt
control of spodoptera leaf spot in ground nut,spraying of monocrotophas 1.6 ml/lit water
asked about rootb0rer in  groungnut,suggest to apply carbofuran 3g capsules
fertilizer management in ground nut after sowing,suggested to apply gypsum 200 kg per acre
ground nut tobacoo c.p,prophinophos 400ml/ac
control of ground nut leaf minor minor,spraying of monocrotophas 1.6 ml/lit water
asked about fe deficiency,suggest to spray feso4
aphid in groundnut,spraying of dimethoate@ 2 ml/lt
asked about control of groundnut leaf maner,recommended to spray monocrotophose 1.6ml/lit
asked about control of leaf webber,recommended to spray quinalphose 400ml/acre
asked about fertilizer in groud nut,recommended according to panchangam
asked about control of jassids,recommended to spray monocrotophose 320ml+neem oil 1lit + 1kg ditergent powder
control of spodoptera liturea damage,poision bait technique recomonded
asked about the control of leaf folders,recommended to spray monocrotophos 1.6ml/lit
control of tobaco caterpillar groundnut,applying 5kg paedy husk+1/2 kg jaggari+500ml  chloropyriphos
control of weed in groundnut,spraying imajithaphir 2ml/1 lit water
control of tobaco caterpillar in groundnut,applying 5kg paddy husk+1 kg jaggari+1 lit chloropyriphos
contol of leaaf folder in ground nut,spraying of quinolphos 2 ml per one liter of water
root grub damage,apply carbofuron 10 g grnules per one acare
dosage of zipsum in groundnut,200kg/acer
asked about rootrottening,spray coc
control of helicoverpa,chloripyriphos 2.5ml/l
control of wilt,coc@3g/lit
asked about flies,spray acephate
tikka leaf spot,spray mancozeb
asked about spodopera,spray thiodicarb
mites in groundnut,spraying dicophal 5 ml/ltr
black leaf spot,spraying copar oxychloride 3grms/ltr
asked about zypsum dosage,suggest him 200kgs acre
root rot in groundnut,mancozeb@3g/lit
control of suc&#3093,ing pests
leaf spot in groundnut,mancozeb@400g/acre
fertilizer doses in groundnut,solved
tikka leaf spot in groundnut,mancozeb@600g/lit
peanut bud necrosis virus,dimethoate@2ml/lit
asked about control of root rot,blitax 3gm/l
wilting of groundnut plants 6 das,18004251110
asked about control of rootrot,coc 3gm/l
weed control in groundnut,pendimethalin@1.3-1.6lit/acre
bud necrosis in g.nut,seed treatment with imidachlorpid@ 2 ml/ kg seed and mancozeb@ 2.5 gm/kg seed
market rate of groudnut,given as per data
control of leaf eating caterpillar,quinolphos
tikka leaf spot in g.nut,hexaconazole@ 2 ml/lt
root rot in g.nut,coc@ 3 gm/lt
helicoverpa control in groundnut,spinosad@75ml/acre
how to get good yield in groundnut,gypsum 200kg per acre
weed control in groundnut after 21 days,targa super@300ml/acre
soil testing information,given as per data
asked about leaf spot in groundnut,suggest to spray mancozeb
control of tikka leaf spot,m45 400gm/ac / carbendizem 200gm/ac / hexaconazole 400ml/ac
seed treatment in groundnut,seed tratment with carbondizem 3 gm per litre
market rate of groundnut,given
seed treatment in g.nut,with mancozeb@ 2.5 gm/lt
helicoverpa damage in ground nut,chloripyriphos@ 2.5 ml/lt
asked about grondnut pest,given
stem rot in g.nut,propiconazole@ 1 ml/lt
seed tratment in groundnut,bavistin@3g/lit
asked zn deficiency,spry znso4
asked about bio fertilizers,given as per data
catterpillers control in croundnut,chloropyriphos@2.5ml/lit
asked about dosage of  zypsum,suggest to apply zypsum 200kgs
nutrient management in groundnut,urea@9kg/acre
wilt in gnut,recomended 30gm coc and 1gm streptocuclin in 10 lit water
for spodoptera in groundnut,spraying of larvin 300gms or rimon 200ml/200lt
ground nut tikka leaf spot,"recommended to spray carbendazim (bavistin, derosal, carbendazim) 200 grams per acre  
 mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
asked ground nut sucking pests,"recommended to spray dimethoate(rogar, rogarin) 400 ml per acre"
ground nut pod borer,proclaim 100gr/acr
tikka in ground nut,"recommended to spray hexaconazole(contaf, anvil)  400 ml per acre"
ground nut tobacco caterpillaer,"recommended to chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
control of leaf spot in   ground nut,m   45     500 gr / acre
bihary hairy caterpillar in ground nut,recommended spray of tracer 75ml/ acre in groundnut
caterpillar in ground nut,recommended to spray plethora @ 350ml/acre
asked about grund nute leaf folder,"recommended to spray quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre"
caterpillar in groundnut,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
ground market market information,4190
control of pachha purugu in ground nut,spray   lamdachalothrin 400 ml / acre
ground nut sucking pest,"recommended to spray dimethoate(rogar, rogarin) 400 ml per acre"
root rot in ground nut `,recommended blitex 3g/lit water
flower drop in gnut,recomended planofix 5ml/20lit water
for leaf hoppers in groundnut,recommendation of acephate 300gms/200lt
tikka leaf spots,"recommended to spray chlorothalanil(kavach, daconil, bravo)  400 grams per acre"
ground nut leaf miner,"quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre"
weedicide in gnut,spraying of pendimethalin 1.2lt/ac
for helicoverpa in groundnut,spraying of larvin 300gms/200lt
"nutrient deficiency
in groundnut","marshal 300ml/acre
gypsum 200kg/acre
muilti k-1kg/acre (13-0-45)
agromin max 1kg/acre"
ground nut leaf spot,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre ??o?????? (?????? m -45, ???????? m-45, ???????)  ?????? 500-600 ????????  200 ??????? ?????? ????? ???????? ??????"
control of   pachhapurugu in ground nut,quinalphos   2 ml / lit of water
"caterpillar damage
in groundnut",chlorpyriphos 500ml/acre
ground nut seed treatment,tricoderma viride 3gr/ kg seed
ground nut black spots,recommended for  mancozeb  gr/ltr and coc 1 gr/ltr
want farmer call center,recommended 1800-425-1110
for leaf eating catterpillar,spraying of larvin 300gms/200lt
ground nut leaf spots,saaf 400gr/acre in 200 lt water
ground nut leafspot,basvistin 1gr/ lt water
early leaf spots on geroundnut leaf,"carbendazim (bavistin, derosal, carbendazim) 200 grams per acre"
ground nut crop,dec 15
ground nut rust,recommended to tridimorph 400gm/acrer
groundnut tikka late,carnendazim 1gm/lt
ground block spots,saff 400gr/acr
asked about tcp,"recommended to spray thiodecarb (larvin, spirin, check) 300 grams per acre"
ground nut root rot,spray 30 grams copper oxy chloride+ 1 gram streptocyclin per 10 litres
ground nut stem rot,recommeded to score 100ml/acre
ground nut  aphids,recommended for blitax 3 gr/ltr and acephate 1.5 g/ltr
ground nut helicoverpa,"thiodecarb (????????, ????????, ????) 300 ml per acre  ???????????? (????????,????????, ????) ????? 300 ?????? 200 ??????? ?????? ????? ?????? ??????"
stem rot in ground nut,recomended mancozeb 2g/lit water
ground nut borer,"recommended to spray quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre"
yelow leaf drop,recommended to spray spray 30 grams copper oxy chloride+ 1 gram streptocyclin per 10 litres    10 ??????? ?????? 30 ???????? ????????? ????? ?? ???? ??????????????????
groundnut leaf spot,recomonded dosage mancozeb 400gr/acre
small caterpillar in ground,recomended for neemoil 5ml/lt water
discolouration of ground nut leaves,recommended for multi k 5grms/lt water
ground nut spodoptera,recommended to neam oil 5ml/lit
ground nut mgmt.,20 kgs murate of potash and 12 kg/urea /acre
ground nut leaf floder,"recommended to spray chlofenpyrphos  (intraprid, lepido) 300 ml per acre"
groundnut shoot borer,plithora 75grm/acre
"root rot
in groundnut",copper oxy chloride 3g/lit-mokka modalu daggara poyandi
sowing tiiiime of groundnut   in rabi,nov-dec
white fly in groundnut,"recommended to spray acephate (antaf, artin, lucid )  300 grams per acre  in groundnut"
"thanks for calling
please call again","thanks for calling
please call again"
weed management in ground nut,recomended stomp 1liter /acre
tikka leaf spots in ground nut,"recommended to spray chlorothalanil(kavach, daconil, bravo)  400 grams per acre"
ground nut gypsum,recomended to use gypsum at flowering stage @200kg/acre
ground nut leaf minor,recommended to monocrotopos 1.6ml/lit
ground nut sheath rot and helicoverpa,recommended to spray 30 grams copper oxy chloride+ 1 gram streptocyclin per 10 litres
ground nut bud necrosis,rogor 2ml/lit.
leaf eating catarpillar,"spinosad(tracer spinter , charge  ) 75 grams  per acre"
ground nut growth,recomended in multi k 1kg/acer
ground nut sowing time,recomended nov to dec 15 is the sowing time
ground nut yellow leaf spot,copper oxy chloride (blitox) 600 grams per acre
weed managent in groundnut after 30 das,no weedicide  30 das
market information purchased by government,recommended for no data about market
for yellowing of leaves in gnut,spraying of agrominmax 1kg/200lt
helicoverpa in ground nut,"spinosad(tracer spinter , charge  ) 75 grams  per acre   ?????????? (???????, ????????, ??????) ???????? 75???????? 200 ??????? ?????? ????? ???????? ??????"
ground nut seedtreatment,tricodermaviride
for control of sucking pest in gnut,spraying of trizophos 400ml/200lt[2ml/1lt]
leafhoppers in groundnut,"spraying of acephate 300gms/200lt+agromin max 1kg/200lt,urea1kg/200lt"
asked about ground nut leaf folder,recommended quinolphos 2 ml/lit of water
fertilizer applied at 30days,"recommended gypsum, potash application"
"caterpillars damage
in groundnut","chlorpyriphos 500ml/acre
gypsum 200kg/acre"
griund nut growth,19  19   19  1kg / acre + agromin max 1 kg / acre
for yellowing of leaves in groundnut,spraying of kavach 400gms/200lt+agrominmax 1kg/200lt
groundnut tikka spot,"chlorothalanil(kavach, daconil, bravo)  400 grams per acre   ????????????? (?????, ???????,  ??????)  ?????? 400 ???????? 200 ??????? ?????? ????? ???????? ??????"
asked groundnut leafcurl,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
tikka leaf spot in ground nut,recommended mancozeb 2.5g/lit water
ground nut root grub,"chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
weedicide in ground nut,ajil ( propaquizopap) 250 ml/ acre
g nut leaf folder,"chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
"weedicide
in groundnut",recommended to spray imazitapyr (pursuit ) 400 ml per acre
asked market rate ground nut,activated
ground nut market information,3919
ground nut early bligt,"mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
"tikka leaf spot, sigatoka leaf spot",spraying of chlorothalonil 2 grms/lit water
ground nut thruppu tegulu,"recommended to spray chlorothalanil(kavach, daconil, bravo)  400 grams per acre   ????????????? (?????, ???????,  ??????)  ?????? 400 ???????? 200 ??????? ?????? ????? ???????? ??????"
for control of helicoverpa in gnut,spraying of proclaim 100gms/200lt
ground nut damping off,recommended application ridomil mz 2.5 gram/ litre in groundnut
ground nut sucking pests,procliam 100gr/acre in 200 lt water
g nut borer,"recommended to spray quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre"
seed treatment in gruond nut,recomended for mancozeb 3grms/1 kg seed or carbendism 1grms/ 1 kg seeds
ground nut tobocco caterpiller,recommended to takumi 120gm/acre
asked about pest in groun nut,recommended to spray chlorophriphos@2.5ml/lit
"fungal infection
in groundnut","copper oxy chloride 3g/lit- mokka modalu daggara poyyandi
saaf 2.5g/lit"
block spots on gruond nut leavs,recomended for mancozeb 400grms/acre
ground nut pachapurughu,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
tobbaco catter piller,recomended quinolphos 2ml/lit water
leaf folding caterpillar,spray corazon 60ml/ac.
white leavs in ground nut,recomended for annabedhi 1kg/acre+citric acid 200ml/ acre
ground nut herbicide 30 days,not recommended.
catter piller in ground nut,recomended chloripyriphos 2.5ml/lit water
for leafspot in groundnut,spraying of kavach 400ml/200lt
tikaa leaf spot in ground nut,recomended bavistin 1g/lit water
fertilizers ground nut,zipsum 200kg/acr
white fly in gnut,recomended oberon 2ml/lit water
curling of leaves and presence of insect in ground nut,recommended for chloripyripos 500ml+acephate 300grms/ acre
tikka in groundnut,recomended saaf 400gm/acre
root rot in ground nut,recommended to spray copper oxy chloride (blitox) 600 grams per acre
block sport in ground leavs,recomended for macozeb 600 grm/acre
fertilizer applied at 30 days,recommended gypsum 200kg/acre
spodoptera in ground nut,"thiodecarb (????????, ????????, ????) 300 ml per acre"
spots in groundnut,"recomended for macozeb recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre ??o?????? (?????? m -45, ???????? m-45, ???????)  ?????? 500-600 ????????  200 ??????? ?????? ????? ???????? ??????"
seed treatment in ground nut,recomended for m-45 3 grms/kg seeds
ground nut leaf curl,"chlofenpyrphos  (intraprid, lepido) 300 ml per acre"
gypsum aplication time,recomended 200kg /acre
control of   akumudathe  in  ground nut,spray neem oil    5ml n/ lit of watr
g nut leaf spots,"mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
groundnut leaf folder,recommended to chlorophrypos 2ml./lit
ground nut wilt,drenching with blitax 3g/lit water
tikka leafspot in groundnut,praying of kavach 400gms/200lt
ground nut zypsum,zypsum 200kg/acr
"caterpillar damage
in ground nut","propinophos 400ml/acre
acephate 300g/acre"
asked about tikka diseasse in groundnut,recommended to spray carbendazim@1gm/lit
ground nut tikka disease,hexaconazole 400ml/acere
ground nut yellow leaf,recomended for  z 78 400gr/acr
