QueryText,KccAns
"fungal infection 
in green gram","saaf 2.5g/lit
chlorpyriphos 500ml/acre"
green gram flower drop,recomended in planofix 2.5ml/10lt water
green gram to flower,recommended to spray multi k@1kg/acre
green  gram variety lgg 460 duration,lgg 460 growth duration 60-65days
grengram powdery mildew,recomanded for dinocap 100 ml/200 liter water it cover
pod borer  in greengram,neem oil 5ml/lit
"weedicide 
in greengram",imazitapyr (pursuit ) 400 ml per acre
control   of  leaf eating   catter piller in green gram,monocrotophos  300 ml /acre  or  neemoil   500 ml /acre
asked about pest in greengram,recommended to spray acephate@1gm/lit
asked about fruit borer in greengram,recommended to spray chlorophriphos@2.5ml/10lit
fertilizers in pesara,spray of urea 5gm/lof water
virus diseases in green gram,"dimethoate(rogar, rogarin) 400 ml per acre      ??????????(??????, ????????) ??????? 400 ??????  200 ??????? ?????? ????? ???????? ?????? 
acephate 1.5grms/lt water"
green gram mgmt,chloropyriphos 500 ml/acre
green gram  leaf blight,saaf 400 gr/acre
greengram pod borer,recommondd spray of rogor 2ml/ litre in greengram
mite in red gram,recommended  kelthin 4ml/lit water
powderymildew in green gram,"recomended for carathaan 200 ml/acre, amister 150ml/acre"
green grem tobacco cater piller,chloripiriphos or monocrotophos 500ml/acre
hole on leaves,recomended larvin 1.5 gm/lit water
whitefly in greengram,spraying of pride 100gms/200lt
white fly in green gram,recomended oberon 2ml/lit water
pesara chitta purugulu,chloropiriphos 2.5ml/litre
"cater pillar problem,can i spray chloropyriphos",can spray chloripyriphos
poota lo purugu,triazophos 300ml/acre
pesara chitha purugulu,"2.5ml/litre,"
pesara lo thamara purugulu,"monocrotophos 1.6ml/itre, 320ml/acre"
asked about herbicide in  greengram,suggest to spray  pendimethalin
control of spodoptera in green grams,spraying of monocrotophas 1.6ml/litre water
asked about drying of leaves,suggest to spray mancozeb
asked about drying of flowering,suggest to spray mancozeb
asked about germination of blackgram seeds after harvesting,suggest him to spray salt water
asked about control of leaf minor,spraying of chloripyriphos 2.5ml\l
helicoverpa damage in green gram,chloripyriphos@ 2.5 ml/lt
for plant flowring,"multi k,"
mosaic in green gram,dimethoate@2ml/lit
yellow mosaic in green gram,mancozeb @ 2.5 gm/lt
sucking pest control in green gram,acephate 2gr/lit
leaf eating catter piller in green gram,acephate@300g/acre
mosaic resistant varieties,"lgg-407,460"
growth is not good in green gram,use formula4 @ 5ml/liter water
how to control black ants in green gram,spray dimethoate @2ml per liter water
fruit borer in greengram,chloropyriphos@2.5ml/lit
pod borer ingreengram,dichlorvas@250ml/acre
control of caterpillar in green grams,spraying of monocrotophas 1.6 ml/lit water
asked about  management of thrips in greengram,suggested to spray dimethoate @ 2g/lt of water
asked about greengram market price,greengram market price-kurnool rs.3400/- to rs.3600/- nalgonda-suryapet-rs.2449/-(rs./quintal)prakasam-addanki0-rs.3300 to rs.3400/-
asked about seed varieties of green gram,"lgg 407,lgg 406"
green gram seed treatment,30g of carbosulfan per kg seed
asked about herbicide in greengram,suggest to spray quisalophosethyl
control of spodoptera in green gram,"spraying of monocrotophas 1,6 ml/lit water"
asked about snow fall on greengram leaves,suggest to spray urea
control of yellow mosaic in green gram,spraying of dimethioate 2 ml/lit water
control of cuscuta in green gram,spraying of urea 10 grms/lit water
powery leaf folder,acephate 1gms chloripyriphos 2.5ml
greeen gram or blackgram,thanks for calling
crops which are sown in prakasham district,"in pulses, grren and blackgrams are grown"
thrips in green gram,rogar 2ml/litre
akutine puruju control,recommonded spray of  tracer 80 ml/ acre
herbicide details in greengram,spray pendimethalin 1.5 lit/acre
sucking pest in greengram,recommanded for acephate 300 g/acre
control of sucking pest in green grams,spraying of monocrotophos 1.6ml/li water
control of  leaf eating caterpillar in green grams,spraying of chloropyriphas 2.5 ml/lit water
storage of grams,suggested for application of malathion
asked about sowing of greengram,suggest him to sow in march
control of yellow mosaic in green grams,spraying of methyle dematon 2 ml/litre water
use of complex fertilizers,suggested before sowing it is better
greengram sowing time,greengram sowing time nov-dec
green gram leaf folding,"acephate (antaf, artin, lucid )  300 grams per acre   &#3087;&#3128;&#3136;&#3115;&#3142;&#3103;&#3149; (&#3077;&#3074;&#3103;&#3134;&#3115;&#3149;, &#3078;&#3120;&#3149;&#3103;&#3136;&#3112;&#3149;, &#3122;&#3138;&#3128;&#3135;&#3105;&#3149;) &#3119;&#3142;&#3093;&#3134;&#3120;&#3093;&#3137; 300 &#3095;&#3149;&#3120;&#3134;&#3118;&#3137;&#3122;&#3137; 200 &#3122;&#3136;&#3103;&#3120;&#3149;&#3122;&#3137; &#3112;&#3136;&#3103;&#3135;&#3122;&#3147; &#3093;&#3122;&#3135;&#3114;&#3135;"
green gram  leaf eatting  catter piller,recommended emamectin benozate 100g/acre
green gram treatment,green gram treatment: carbosulphan 30gm / kg  of seed
green gram yellow mosaic virus,dimethoate(rogar   rogarin)  400ml/acre
helicocverpa damage in tobbaco,sprey rec. dosage of profinophos 400gr./acr
proper growth in green gram,multi-k (13-0-45)1kg/acre in 200 lt water
green gram thrips,recommended to spray   monocrotophos 400 ml / acre
yellow mosaic disease problem in greengram,recommended to spray vector (white fly)control - acephate 300 gr/acre
cuscuta problem in green gram,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml per acre"
green gram weed management,recommended spray parsut 250ml/acre
flower development in green gram,recommended to spray multi-k 1kg/acre
sowing season for green gram,advised to sow in first week of february
pest pro. in grenn gram,"recommended to spray difenthiuron(polo,pegasus) 300 grams/acre"
green gram bacterial wilt,recommended for 30 gr coppor oxy chloride and 1 gr streptocyclin  in 10 ltr of water
disease damage in green gram,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
cercospora leaf spot in in green gram,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
leaf eating catrepillar infestation in green gram,proclaim 100 grams/acre in 200 lt water
weed management in green gram,recommended to spray propaquizafop(agil) 250-300 ml/acre
pallaku tegulu in green gram,rogar 400 ml / 200 liter water
green gram nutrient management,recommended for spray 13-0-45 (multi-k) 1 kg/ acre
"yellow mosaic
(pallaku tegulu)of green gram",spray monocrotophos @ 1.6ml/l or acephate @ 1.5g/l or triazophos @ 2ml/l of water to control the vector (whitefly).
leaf folder damage in green gram,profinofos 400 ml/acre in 200 liter water
pest attack in green gram,recommended to spray quinalphos 400ml/acre
green gram vegetative growth,recommended to spray multi-k (13-0-45)1kg/acre in 200 lt water
green gram yellow vein mosaic,recommended to spray monocrotophos @ 1.6ml/l or acephate @ 1.5g/l or triazophos @ 2ml/l of water
green gram leaf spots,recommended to spray merger  400 grams per acre
helicoverpa damage in pulses,recommended to spray chloripyriphos 500 ml/acre
cowpea leaf eating caterpillar,recommended to spray chloripyriphos 500 ml/acre
green gram weed control,"recommended to spray imazitapyr ( weedblock, pursuit, ) 300- 400 ml per acre"
leaf spot on  green gram,saaf 2gr/lt water
green gram yellow mosaic damage,recommended to remove effected plants &spray acephate 1.5 gram / liter water
query about the greengram varieties,"recommended varieties of greengram: lgg 450,460, 407 and 410"
tobacco catter pillar in green gram,spinosad 75 ml/acre sprinter  tracer
cercospora leaf spot in green gram,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
helicoverpa damge in black gram,neem oil 5 ml per liter water
green gram mosaic virus,apply dimethoate 400 ml per 200 litres of water/acre.
herbicides in green gram,recommended to spray pendimethalin(stomp) 1-1.25 litre/acre
disease damage in pulses,recommended to spray merger  400 grams per acre
"fer,  rec. in cotton",n:p:k 120:60:30
green gram varieties,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml per acre"
white fly problem in greengram,recommended to spray acephate 300 gr/acre in  200 lt water
green gram  weed management post emergence,agil 250 milli liter / acre
reduced growth in green gram,recommended to  spray multi k
herbicides in pesara,dont spray any weedicide
sucking pest pro. in green gram,sprey rec. dosage of neem oil
weed managemnt in pulases,recommended to spray propaquizafop(agil) 250-300 ml/acre
cultivation of green gram,seed treated with carbo salphan
green gram market information,"addanki	nr	tonnes	nr	medium	6150	6200	6170	rs/quintal
ongole	0.1	tonnes	nr	medium	8300	8500	8400	rs/quintal
pamarru	nr	tonnes	nr	local	5000	7000	6000	rs/quinta"
fertilizer application for green gram,fertilizer apply for green gram 8kg/n 20 kg/p /acre befor sowing
green gram yellow mosaic,recommended to spray acetamiprid 50gm or emidacloprid 60ml or acephate 300gm or oberon 250ml/acre in 200 lt water
tobacco caterpillar problem in greengram crop,recommended to spray plethora (nuvalyuron+indoxcarb) 350 ml/acre
green gram varities,"lgg-460,lgg-407,wgg-2,t.m-96-2"
white flies in green gram,recommended to spray neem oil 1 l/ac
sucking pests in green gram,"recommended to spray acetamipride(pride, manik,vermit) 40 grams per acre"
post emergence herbicides problem in green gram crop,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml per acre"
disease damg in chillies,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
green gram grow thing,green gram grow thing : recommended to spray 19:19:19 1kg/ac
yellow mosaic(pallaku tegulu) in green gram,spray monocrotophos @ 1.6ml/l or acephate @ 1.5g/l or triazophos @ 2ml/l of water to control the vector (whitefly).
green gram trips,recommended for spray acephate 300 gr/acre in  200 lt water
yellow mosaic disease problem in green gram crop,recommended to spray for vector (13-0-45) control: acephate 300 gr/acre
helicoverpa damage in greengram,proclaim 100 grams/acre in 200 lt water
disease  dmage in greenb gram,"recommended to spray propiconazole (tilt, radar)  200 ml per acre"
green gram weead management,recommended to spray quizalopop ethyl(targa super) 400 ml per acre
green gram tabocco caterpillar,recommended to spray   monocrotophos 400 ml / acre
about management of the aphid,acephate 300 gr/acre in  200 lt water
green gram leaves yellowing and falling,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
black  gram fer. rec.,n:p:k:  30:50:30
green gram leaf damage,mono 1.6 ml/ lit
cerkosprora leaf spot in green gram,"recommended to spray chlorothalanil(kavach, daconil, bravo)  400 grams per acre"
fer. rec. dosage of minimu,n:p:k = 45:60:30
greengram yellow vein mosaic,recommended to spray   monocrotophos 400 ml / acre
midge fly damage in,sprey rec. dosage of carbosulphan 400 gr./acr
green gram pre emergence herbicide,recommended to spray pendimethalin(stomp) 1-1.25 litre/acre
green gram pod borer traps,"recommended for apply
 paddyhusk 2 kg + jagerry 1 kg + monocrotophos 500 ml and mix granules / acre"
yellow mosaic (pallaku tegulu) in green gram,spray monocrotophos @ 1.6ml/l or acephate @ 1.5g/l or triazophos @ 2ml/l of water to control the vector (whitefly).
weed managemnt in minumu,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml per acre"
crop growth of green gram,spray multi k  13-0-45 1kg/200l water
green gram vegative growth,recommended to spray 19-19-19 kg/acre
reduced growth in gree gram,sprey rec. in multi-k
green gram leaf spot & yellow mosaic,"recommended to spray   monocrotophos 400 ml / acre 
saaf 2gr/lt water"
herbicide in green gram after 45 days,not recommended
green gram seed rate/acre.,green gram seed rate :10-12kgs/acre.
fungal infection in green gram,blitox(coc)600 gr/acre in 200 lt water
green gram stem rot,recommended to spray captan 2.5g/l
green gram seeds on subsidy,meet your agricultural officer.
greengram leaf eating caterpillar,recommended neem oil 5ml/liter water +1gram surf powder
pest pro. in pulses,recommended to spray chlorantriniprolu  (corazen) 40-60 ml/acre
leaf eating caterpillar of green gram,spray rogar 400 ml / 200 liter water
thrips damge in geeen gram,"recommended to spray difenthiuron(polo,pegasus) 300 grams/acre"
green gram fertilizers appilication per acre,recommended spray 13-0-45kg/acre
green gram sucking pest control measures,"recommended to spray difenthiuron(polo,pegasus) 300 grams/acre"
green gram sucking pests,suggested to spray dimethoate or fipronil 2 ml per lit of water.
flower drop of redgram,recommended to spray planofix 4.5 ml/20 litre
post emergence herbicides use in greengarm crop,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml per acre"
green gram  powdery  mildew damage,wettable sulphor 3 gram / liter water
leaf eating caterpiller of green gram,spray acephate 300 gr/acre in  200 lt water
cuscuta weed in greengram crop,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml per acre"
weed managementin green gram,recommended for spraying a profoxigiphos ( ggill) 1.25ml in 1 litre
green gram  growth management,recommended to spray multi-k 5 gram / liter water +  multi-k 5 gram / liter water
green gram spodoptera damage & pod borer,recommended for spray profinophos 400 ml & neem oil 1 liter / acre
post emergence herbicides use in green gram crop,"recommended to spray imazitapyr ( weedblock, pursuit, ) 300- 400 ml per acre"
flowering in green gram,multi k 1 kg/acer
seed treatment in green gram,recommended to apply carbendazim @ 1 gram per kg seed
where available green gram seeds,bapatla research centre no given : 08643-225180
leaf eating caterpillars in greengram,recommended to spray chloripyriphos 500 ml/acre
sucking pests attack,dimethoate(rogar   rogarin)  400ml/acre
about management of the spodoptera in greengram,recommended to spray emamectin benzoate (proclaim) 100 grams/acre in 200 lt water
seed var in green gram,recommended lgg-460
seed treatment in green gram.,recommended for seed treatment with carbosulfan @ 30 grams / 1 kg seed.
flowering & growthing,spray multi-k 1 kg per 200 litres of water/acre
chitta purugulu in greengram crop,recommended to spray choloropyriphos 500 ml/acre
post-emergence in green gram,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml per acre"
weed management in greengram,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml per acre"
green gram pod borer & sucking pest,recommended for spray acephate 1.5 grams + profinophos 2 ml/1 liter of water
"after spraying fungicide,water  should be given?",after fungicide we have to give water after three days
green gram root rot,recommended to spray copper oxy chloride (blitox) 600 grams per acre
green gram virus,"informed that viral disease has no chemical control. suggested to apply carbofuran or fipronil granules 6-8kg per acre to control vectors like aphids, thrips etc that transmit the disease. spray dimethoate @ 2ml/l or acephate @ 1.5g/l of water to control the vector (white fly)"
cercospora leaf spot of green gram,spray carbendazim 500 g/ha or mancozeb 1000 g/ha
about management of the whitefly in green gram,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml per acre"
growthing in green gram,multi-k (13-0-45)1kg/acre in 200 lt water
green gram ffertilizer management,"recommended for apply urea 20 kg, mop 30 kg/ acre"
pulses contact number,contact to 9849133493
virus damage in green gram,recommended for spray acephate 300 gr/acre in  200 lt water
weed management inpulses,recommended to spray oxadiarzil (topstar ) 30 grams per  acre
green gram leaf eating catter piller,recommended spray thiodicarb (larvin)300g/acre
leaf spot in green gram,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
leaf heating cater piller,recomeded for nem oil 5 ml/lit water
pest attack in greengram,chloropyriphos 2.5ml/l water + acephate 1.5 gr/l water
yellowing of leaves in green gram,recommended rogar 400ml/acre
greengram weed management,pendimethalin 1 liter / acre
asked green gram,multi k 1kg/acre
green gram seeds,"green gram seeds  wgg-37, lgg  460"
catter piller in green gram,plithora 350 ml/acre
green gram cultivation practices,"seed rate- 6-7 kgs, seed treatment - 30 grams of carbosulfan (marshall) per kg of seed   , crop duration- 70 days, fertilizers, n-8kgs, p- 20kgs/ac"
pest infestation in green gram,"recommended to spray chlorpyrphos(korban, dursban, lethal,  radar) 500 ml per acre"
flower drop control,recommended to spray planofix 4.5 ml/20 litre
ymv  disease control measures,control measures only by controlling white flies by spraying monocrotophos 2ml /1liter of water and use of resistant varities of such as lgg-460 and wgg-42 are best resistant varities of green gram for ymv resistant
green gram cercospora leaf spot,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
asking about green gram variety l.g. g-460 yielding,l.g. g-460  yield- 5-6 q/ac
asked market rates number-chittoor,"contact to 08572–245112,9989623809"
weedicides in green grams,recommended to spray phenoxy  prop-p-ethyl (whip super ) 200 ml acre
green gram management,neem oil 5 ml/lt water
control of  leaf  eating  cater piller in  green gram,spray prophinophos    2 ml / lit  of water
green gram tobacco catterpiller,recommended to used chloripyriphos 6ml/litre for root drenching
green  gram sheath rot,recommended to spray spray 30 grams copper oxy chloride+ 1 gram streptocyclin per 10 litres
greengram root damage,recomended for blitox 3 gr/lit water
greengram dises problem,thiophanite methyl 1g./1lit. water
green gram borer,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
green gram podborer,"""recommended to spray propinophos (curecron, profex,don, bolero)  400 ml per acre"
storage pest in green gram,"recommended to spray malathion( cythion,chemithion,more ) 400 ml per acre"
green gram  weed management,recommended to spray phenoxy  prop-p-ethyl (whip super ) 200 ml acre
green gram and black gram varieties varieties,"green gram 	 lgg-450, 460407, mgg-295, wgg-37, 02 and ml-267 varieties
black gram :suggested to go for lbg-752, 402, 17"
green gram white fly,confider 60ml/acre
green gram leaf heating caterpiller,"recomended for chloripyripos 2,5 ml/lit water"
powdery mildew:  erysiphe polygoni in green gram,cectine ( finamidone + mancozeb ) 600grms/acre
green gram weedicide,recommended to spray propaquizafop(agil) 250-300 ml/acre
green gram market rate,"krishna  

tiruvuru  
0  green (whole)  tonnes  4500  4700  4600  rs./quintal"
fertilizers use in green gram,"recommended ssp 100kg/acre, 15kg/acre potash"
green gram caterpillars,"recommended for recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
green gram cater piller,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
catter piller in greengram,plithora 350 ml/acre
leaf eating catter piller in greengram,"thiodecarb (????????, ????????, ????) 300 ml per acre"
catter  piller in greengram,plithora 350 ml/acre
yellow mosaic virus damage,remove effected plants and spray acephate 1.5 gram / liter water
weedicide  at 15days in green gram,recommended to spray phenoxy  prop-p-ethyl (whip super ) 200 ml acre
weedicide- green gram,persuit 250 ml/acre in 200 liter water
green grem powdery mildew,recomonde dosasge carathane 200ml/acre
fungal infestation in green gram,"recommended to spray hexaconazole(contaf, anvil)  400 ml per acre"
green gram spodaptera damage,recommended for spray chloropyriphos 500ml/ acre
blister beetles in green gram,recomended chloropyriphos 2.5ml/lit
asked green gram sowing time,october
"copper oxy chloride 3g/lit-2 times in 10 days interval-mokka modalu daggara poyyandi.
acephate 300g/acre","copper oxy chloride 3g/lit-2 times in 10 days interval-mokka modalu daggara poyyandi.
acephate 300g/acre"
green gram fertilizers,"1bag dap; 1bag urea, 1bag potash after 20 days"
spodoptera in green gram,recomended larvin 1.5gm/ lit
green gram leaf spot c.p,"propinophos (curecron, profex,don, bolero)  400 ml per acre"
control of pallaku tegulu in   green gram,spray agromin max  5gr/ lit of water
root rot in green gram,blitox 30 g and streptocyclin 1 g/10 ltr of water
"nutrient management
in green gram","agromin max 5g/lit
multi k (13-0-45) 5g/lit"
stem borer & helicoverpa damage in green gram ?,"recommended for chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
