QueryText,KccAns
caterpillar in red gram,"quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre"
larva in flower,recomended larvin 1.5gm/lit water
larva in flower bud,recomended nem oil 5ml/lit water
control of pachha purugu in red gram,proclaim   90     gr /  200 lit of water
multi nutrient in red gram,recomended mulik 1kg/acre
red gram redgram,recommended to spray planofix @50ml/acre
red gram growth,recomended mulit-k 1kg/acre in 200lt water
"nutrient deficiency
in blackgram","muilti k-1kg/acre (13-0-45)
agromin max 1kg/acre"
catter piler in red gram,"recommended recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
red gram flower drop,spray plano fix 5ml/20l water.
maruka in redgram,recommended spray of tracer 75ml/ acre in redgram
leaffolder in redgram,"recommended to spray quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre"
flower drop control in red gram,recommonded spray of planofix 2ml/ 10 litre of water in redgram
red gram in piod borer,proclaim 100gr/acr
for flowering of redgram,spraying of planofix 50ml/200lt
control of putha purugu in   red gram,monocrotophos 1.6 ml / lit of water
redgram pod borer,recommended to spraying of fame 20-40ml/acre
fertilizer dose asked,"basal dose: 2 bags ssp, 18kg urea, 33kg mop , 30days: 9kg urea"
sucking pest in red gram,recomended confidor 3ml/10liter water
roo rot in red gram,recomended blitex 3g/lit water
catter piller in red gram,recommended chloripyriphos 2.5ml/lit water
red gram root rot,recommended for coppor oxy chloride 3 g/ltr
cattter piller in red gram,recomended chloripyriphos 500ml/acre
for flower dropping,spraying of planofix 50ml/200lt for 7acres 350ml/1400lt
white fly in redgram,recommended spraying of marker 400ml and pride 100g /acre
red gram leaf folder,recommended to monopcrtopos 1.6ml/acre
"nutrient deficiency
in redgram","muilti k-1kg/acre (13-0-45)
agromin max 1kg/acre"
control   of  akuchuttapurugu in red gram,quinalphos    400 ml /  acre
red gram mgmt.,"recommended to spray quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre"
red gram fruit borer,"recommended to spray spinosad(tracer spinter , charge  ) 75 ml  per acre"
"flower dropping
in redgram","muilti k-1kg/acre (13-0-45)
agromin max 1kg/acre
propinophos 400ml/acre"
control of pachha purugu in redgram,proclaim 90 gr    ledaa 340 ml plethora / acre
flowering of red gram,multi k 1kg/acere and 20lit tank 5gm
red gram varieties,"palnadu, lrg 38, lrg 41"
red gram borer,"recommended to spray quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre"
redgram leaf folder,quinolpos 2ml/lit
podborer in redgram,recommended spray of larvin 300gram/ acre in redgram
for helicoverpa in redgram,spraying of larvin 300gms/200lt
helicoverpa damage in red gram,"recommended to spray spinosad(tracer spinter , charge  ) 75 ml  per acre"
nimatode damage in red gram,recommended for blitax 2.5 ml/ltre
irrigation in red gram,give irrigatiobn before flowering and fruiting time
helicoverpa in red gram,recomended misile 5ml/10lit water
reg gram  fruit and flower drop,spraying of planofix 2.5 ml/10 lit water
red gram varities,redgram surya warangal kandi 53
red gram shoot borer,proclaine 90grm/acre
redgram fruit borer,spray tracer 75ml/ac.
fruit borer in red gram,recomended for neem oil 5ml/lt water
white fly in red gram,recommended spraying of marker 400ml and pride 100g/acre
"recommended to spray acephate (antaf, artin, lucid )  300 grams per acre   ??????? (??????, ???????, ??????) ??????? 300 ???????? 200 ??????? ?????? ?????","recommended to spray acephate (antaf, artin, lucid )  300 grams per acre   
multi k (13-0-45) 5g/lit
agromin max 5g/lit"
redgram flowering improvement,"multi k, 1kjg / acere"
fruit borer in redgram,"quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre"
pigeon pea leaf minor,monocrotophos 2ml
asked about tobacco cater pillar in red gram,recomended dichlorovas or novaluron
control of caterpillar in red gram,spraying of carbaryle 3 grm/lit water
asked about control of sucking pest in redgram,suggested to spray kwinolphos@2ml per liter water
asked about irrigation in red gram,suggested to go for 2-3 irrigations at critical stages
control of leaf eating cating in red gram,spraying of prophinophas 2ml/litre water
asked about yellowing of leaves,suggested to spray micro max
can red gram b sown continously,go for crop rotation
asked about spacing of red gram,45?90 x 10 cm in rabi
short duration red gram varieties in rabi season,lrg41 or wrg 27
asked about redgram varieties,"redgram varieties-palnadu,asha,abhaya,icp 8863,durga"
asked about pod borer red gram,recomended in chloripyriphos
red gram fertilization,"8kgn,20dap,20kg mop"
tobacco caterpiller problem in redgram,recommended to spray chloripyriphos 500 ml/acre
redram helicoverpa dmage,recommended to spray novaluran+indoxicarb (plithora) 350 ml per acre
red gram leaf eating caterpillar,recommended to spray chloripyriphos 500 ml/acre
pest pro. in pigeon pea,profinofos 400 ml/acre in 200 liter water
maruca worms in redgram crop,recommended to spray choloropyriphos 500 ml/acre
red gram flower borer,recommended to spray chloripyriphos 500 ml/acre
tobacco caterpillar problem in redgram,recommended to spray chloripyriphos 500 ml/acre
pest attack in red gram,recommended to spray quinalphos 400ml/acre
about management of the helicoverpa,recommended to spray chlorantriniprolu  (corazen) 40-60 ml/acre
helicovarpa damage in red gram,proclaim 100 grams/acre in 200 lt water
red gram sucking pest,"recommended to spray chlofenpyrphos  (intraprid, lepido) 300 ml per acre"
red gram growthing,multi-k (13-0-45)1kg/acre in 200 lt water
flower drop  in redgram,planofix 50 ml per acre
sucking pest in redgram,oberon 250ml/acre in 200 lt water
spotted bollwarm in red gram,"spinosad 75 ml/acre sprinter  tracer  
 
recommended to spray chlorothalanil(kavach, daconil, bravo)  400 grams per acre"
pod borer attack in redgram,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml per acre"
leaf folding catter pillar in red gram,recommended to spray   monocrotophos 400 ml / acre
flower dropping red gram,recommended to spray planofix 4.5 ml/20 litre
red gram powdery mildew damage,dinocap 2 gram / liter water
red leaf foldar,recommended to spray flubendamide(fame) 40-50 ml per acre
red gram die back disease,recommended for 30 gr coppor oxy chloride and 1 gr streptocyclin  in 10 ltr of water
red gram sowing time,september 15th-octomber 15th
flower eating caterpillar in red gram,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml per acre"
red gram pod borerand flower drop,recommande spray spinosad 75 ml/acre sprinter  tracer
red gram vaiety,"red gram vaiety : lrg 30,38,41"
helicoverpa problem in redgram,recommended to spray plithora (nuvalyuron+indoxcarb) 350 ml/acre
red gram  water management,recommended to  apply light irrigation at flowering stage
pest  damage in red gram,recommended to spray novaluran+indoxicarb (plithora) 350 ml per acre
red gram helicoverpa damage,recommended to spray  lambda cyhalothrin 400 milli liter / acre
red gram flower drof,recommended to spray agrominimax  1 kg /acre
flower droping in red gram,recommended to spray planofix 4.5 ml/20 litre
red gram  flower drop management,recommended to spray planofix 5 milli liter / 20 liter water
tobacco caterpillar problem in redgram crop,recommended to plethora (nuvalyuron + indoxcarb) 350 ml/acre
helicoverpa  damage in redgram,proclaim 100 grams/acre in 200 lt water
red gram  fusarium wilt,"pesticide not recommended 
red gram variety i.c.p.l 87119,8863"
red gram flowering & growthing,spray planofix 5 ml per 20 litres of water
red gram leaf eating catter piller,recommended to spray flubendamide(fame) 40-50 ml per acre
tobacco leaf eating caterpillar infestation,proclaim 100 grams/acre in 200 lt water
red gram leaf eating catterpiller,recommended to spray flubendamide(fame) 40-50 ml per acre
about management of the flower eating caterpillar,recommended to spray flubendamide(fame) 40-50 ml per acre
flowering in red gram,recommended to spray planofix 4.5 ml/20 litre
flower drop in redgram,recommended to spray planofix 4.5 ml/20 litre
bacterial wilt in red gram,recommended for 30 gr coppor oxy chloride and 1 gr streptocyclin  in 10 ltr of water
redgram white fly,recommended acephate 1.5gram/liter water
crop growth of redgram,spray multi-k (13-0-45)1kg/acre in 200 lt water
redgram flower droping,recommended spray planofix 5ml/20litres of water
redgram tobacco caterpillar,"recommended to spray chlofenpyrphos  (intraprid, lepido) 300 ml per acre"
pest in red gram,recommended to spray plethora 350ml/acre
redgram flowering& growthing,spray planfix 5 ml per 20 litres of water.
leaf eating caterpillar in red gram,recommended to spray novaluran+indoxicarb (plithora) 350 ml per acre
red grmam sucking pest,planofix 5 ml/20 liter / water
red  gram  maruka damage,lambda cyhalothrin 400 ml / acre
red gram  flowering,recommended to spray multi-k 1kg/acre
whitefly in redgram,spray oberan 200 ml per 200 litres of water/acre.
helicoverpa damage in red ram,proclaim 100 grams/acre in 200 lt water
funagl disease problem in red-gram crop,recommended to spray carbendizm 200 gr/acre
red gram water management,apply light irrigation   once at flowering stage
red gram caterpiller,recommended to spray chloripyriphos 500 ml/acre
red gram nutrient deficiency,recommended to spray 19-19-19 1 kg / acre in 200 lt water
fusarium wilt in redgram crop,recommended to spray copper oxy chloride (blitox) 600 grams per acre
proper flowering in red gram,multi-k (13-0-45)1kg/acre in 200 lt water
pod borer problem  in redgram,recommended to spray chloripyriphos 500 ml/acre
maruca worm problem in redgram,recommended to spray chloripyriphos 500 ml/acre
red gram leaf foldar,recommended to spray novaluran+indoxicarb (plithora) 350 ml per acre
red gram flower & pod borer,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml per acre"
red gram stem rot,"recommended to spray propiconazole (tilt, radar)  200 ml per acre"
leaf folder in red gram,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml per acre"
red gram leaf hopper,recommended to spray   monocrotophos 400 ml / acre
red gram flower droping,recommended spray planofix 50ml/acre
red gram leaf eating cater piller,monochrotophos 1.6 milli liter /liter water
about management of the mite,"recommended to spray dicofal(kelthane, mite, hillfol) 1000 ml per acre"
nutrient managment in  red gram,multi-k/1kg/acre/200liters of water
red gram flower pest,recommended to spray chloripyriphos 500 ml/acre
proper growth in red gram,multi-k (13-0-45)1kg/acre in 200 lt water
red gram maruka vitrata damage,lambda cyhalothrin 400 milli liter / acre
red gram mite,"recommended to spray dicofal(kelthane, mite, hillfol) 1000 ml per acre"
crop rattoning details,thank you for calling
red gram leaf spot damage,mancozeb m-45 2 gram / liter water
about management of the flower dropping,recommended to spray planofix 4.5 ml/20 litre
red gram flower dropping,recommended to spray planofix 4.5 ml/20 litre
leaf eating caterpillerof redgram,spinosad 75 ml/acre sprinter  tracer  200 l water
stem rot in red gram,recommended for 30 gr coppor oxy chloride and 1 gr streptocyclin  in 10 ltr of water
red gram pod flies,recommended to spray chlorantriniprolu  (corazen) 40-60 ml/acre
about management of the leaf eating caterpillar,recommended to spray chloripyriphos 500 ml/acre
red gram leaf eatting catter piller,recommended to spray flubendamide(fame) 40-50 ml per acre
red gram leaf spot,recommended to spray emistar 150ml /acre
information about intercultivation,recommended to 30 and 60 days
cater market infortion,26/12/2015 16.8 castor seed 3166 to 3295 /- rs / qtl
redgram flowering & growthing,spray multi-k 1kg per 200 litres of water/acre.
red gram white flies,"recommended to spray thiomethoxome (actra, sitara,renova,) 40 grams per acre"
leaf eating caterpillar infestation in red gram,proclaim 100 grams/acre in 200 lt water
about management of the maruca in red gram,recommemded to spray flubendamide(takumi) 125 grams  per acre in 200 liter of water
red pod borer,recommended to spray lamda saihalothrin  400ml /acre
leaf eating caterpillar of redgram,spinosad 75 ml/200l water acre sprinter  tracer
maruca worm in redgram crop,recommended to spray chloripyriphos 500 ml/acre
tobacco caterpiller problemi in redgram,recommended to plithora (nuvalyuron+indoxcarb) 350 ml/acre
red gram spodotera litura,recommended to spray lamda saihalothrin 400ml /acre
fertilizer dose in red gram,apply 1 bag urea and 25 kg potash
leaf eating caterpiller of redgram,spinosad 75 ml/acre sprinter  tracer200 l water
redgram sucking pest,recommended spray acephate 300g/acre
red gran drought stage,recommended to spray urea 10gm / lit
flower drop in redgram.,recommended to spray planofix 4.5 ml/20 litre
red gram die back,recommended for 30 gr coppor oxy chloride and 1 gr streptocyclin  in 10 ltr of water
maruca worms problem in redgram crop,recommended to spray choloropyriphos 500 ml/acre
red gram  fertilizer  management,multi-k 5 gram / liter water
leaf eating caterpillar attack in red gram.,recommended to spray novaluran+indoxicarb (plithora) 350 ml per acre
pod borer problem in redgram crop,recommended tp spray rinoxpril (coragen) 60 ml/acre
sucking pests in red gram,recommended to fipronil(regent)400 ml/acre  in 200 liter water
spiny pod borer of redgram,recamanded spray spinosad 75 ml/acre sprinter  tracer 200 l water
helicoverpa problem in redgram crop,recommended to spray chloripyriphos 500 ml/acre
flower drop in  redgram,planofix  50 ml per acre
flower dropping in redgram,spinosad 75 ml/acre sprinter  tracer
red gram pod brer,recommended to spray flubendamide(fame) 40-50 ml per acre
red gram leaf eating caterpillr,recommended to spray proclaim 100 grams/acre in 200 lt water
cow pea  helicoverpa damage,lambda cyhalothrin 400 milli liter / acre
yellow mosaic virus disease problem in blackgram,recommended to spray vector control: acephate 300 gr/acre
red gram   flower   drop,recommended to spray planofix 4.5 ml/20 litre
red gram leaf spots,"recommended to spray carbendazim (bavistin, derosal, carbendazim) 200 grams per acre"
red gram caterpillar,recommended to spray lamda cyhalothirne 1.5ml/l
red gram flower growth in fertilizers,recfoliar spraying of 2%kcl + 100 ppm boron during dry spell as mid season management practice in black gram during rabi season is recommended to increase the yield over kcl spray alone .
redgrams flowering & growthing,spray planofix 50 ml per 200 litrs of water/acre.
red gram leaf flodar,recommended to spray   monocrotophos 400 ml / acre
red gram   pod  borers,recommended to spray flubendamide(fame) 40-50 ml per acre
lam farm  contact no.,"lam farm  contact no.0863–2524017, 2524022"
midge fly infestation in red gram,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml per acre   ?????????? ??????? (???????????"
helicoverpa problem in red gram,recommended to spray plethora (nuvalyuron + indoxcarb)350 ml/acre
redgram leaf foldar,recommended to spray   monocrotophos 400 ml / acre
red gram tobacco caterpillar,recommended to spray chloripyriphos 500 ml/acre
maruca worm problem in redgram crop,recommended to spray profenophos 2.5 - 3.0 ml/li water
redgram gram caterpillar,"recommended to spray chlofenpyrphos  (intraprid, lepido) 500 ml per acre"
tobacco leaf eating caterpillar infestation in red gram,proclaim 100 grams/acre in 200 lt water
flower growth in red gram,recommended to spray planofix 4.5 ml/20 litre
sucking pest of redgram,spray  rogar 400 ml / 200 liter water
spodeptora in red gram,spinosad 75 ml/acre sprinter  tracer
early growth in red gram,recommended to spray multi-k 1kg/acre
about management of the pod fly,dimethoate(rogar   rogarin)  400ml/acre
red gram pod borar,recommended to spray chloripyriphos 500 ml/acre
leaf eating caterpillar infestation in re dgram,proclaim 100 grams/acre in 200 lt water
leaf eatuing caterpilklasr infestattion in red gram,proclaim 100 grams/acre in 200 lt water
red gram leaf foldar & flowerv development,recommended to spray lamda sailothrin 400ml  & agrominimax 1 kg /acre
red gram tabacco cater pillar,recommended to spray novaluran+indoxicarb (plithora) 350 ml per acre
for increase crop growth in red gram crop,recommended to spray multi k (13-0-45) 1kg/acre
red gram pest damage,recommended to spray novaluran+indoxicarb (plithora) 350 ml per acre
red gram market info,9500-1150 rs/quintal :red gram market info
helicoverpa damage in redgram,proclaim 100 grams/acre in 200 lt water
grop growth of redgram,spray multi k 13-0-451kg /200l water
inter crops in red gram,"black gram,green gram"
rerd gram helicoverpa damage,lambda cyhalothrin  400 ml / acre
floweer drop control,planofix-50ml/acre/200liters of water
redgram flower drop,"recommanded for naa @ 5 ml in 20 liter water:recommanded for naa @ 5 ml in 20 liter water, pod borer: emactin benzoiate 90 g per 200 liter water it cover one acere"
reed gram flower borer,recommended for spray profenophos 400 ml / acre
white fly on redgram,"spray, imidacloprid 1ml/l water + lamda cyhalothrin 2 ml/l water"
red gram wilt damage,netivo  160 gram / acre
root rot problem in redgram,recommended to spray copper oxychloride 600 gr/acre
pest attack  in red gram,recommended to spray   monocrotophos 400 ml / acre
helicoverpa  damage in chilli,spinosad 75 ml/acre sprinter  tracer
flower groth in redgram,recommended to spray planofix 4.5 ml/20 litre
leaf eating caterpiullar infestation in redgram,proclaim 100 grams/acre in 200 lt water
sucking pest problem in redgram,recommended for spray acephate 300 gr/acre in  200 lt water
red gram white fly,recommended for spray acephate 300 gr/acre in  200 lt water
reduced flowering in red gram,recommended to  spray multi k
red gram flower drop management,recommended to spray planofix 50 ml / 200 liter water /acre
red gram wilting,recommended for 30 gr coppor oxy chloride and 1 gr streptocyclin  in 10 ltr of water
root rot problem in red gram,recommended for 30 gr coppor oxy chloride and 1 gr streptocyclin  in 10 ltr of water
fame 10 ml,recommended for spray flubendamaide (fame ) 20-40 ml/ acre in 150-200 liters of water
red gram   fertilizer management,yuriya 20 kg / acre + potash 15 kg / acre
pallak tegulu in pulses,sprey  rec. dosage of neem oil
red gram  maruka damage,lambda cyhalothrin 400 ml / acre
flower drop ion red gram,planofix 50 ml per acre
yellow color leaf in red gram,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
red gram moisture stess,recommended spray urea 20 gram/litre of water
red gram leaf floder,recommended to spray   monocrotophos 400 ml / acre
red gram nutrient management,recommended for spray 13-0-45 (multi-k) 1 kg/ acre
leaf rolling in red gram,recommnded monocrotophos 1.6 ml/liter water
tobacco catterpiller problem in redgram,recommended to spray chloripyriphos 500 ml/acre
tobbaco catter pillar in red gram,spinosad 75 ml/acre sprinter  tracer
podfly damage in red gram,sprey rec. dosage of karetae 400-500ml
red gram flower  droping,recommended spray planofix 50 ml/acre
pest infestation in red gram,flubendamide-125gm/acre/200liters of water
red gram leaf eatting catterpiller,recommended to spray flubendamide(fame) 40-50 ml per acre
red gram flower growing fertilizers appilication,recommended spray urea 10g/litre of water
midge in red gram,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml per acre"
red gram spodoptera litura,recommended to spray lamda saihalothrin 400ml /acre
pest damage in tomato,recommended to spray novaluran+indoxicarb (plithora) 350 ml per acre
about management of the  borers,recommemded  to spray flubendamide(fame) 40-50 ml per acre
growth in red gram,multi-k (13-0-45)1kg/acre in 200 lt water
sterility mosaic problem in redgram,"recommended to spray dicofal(kelthane, mite, hillfol) 1000 ml per acre"
about management of the borers in red gram,recomended to spray flubendamide(fame) 40-50 ml per acre
shoot borer in red gram,recommended to spray chloripyriphos 500 ml/acre
red gram flower development,recommended to spray agrominimax 1kg /acre
distance between plants and rows,distance between plants and rows 90 cm and plants 20 cm
weed management in redgram,recommended to spray pendimethalin(stomp) 1-1.25 litre/acre /200 litre water
red gram grass blue butterfly,"recommended to spray quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre"
red gram best variety,recommended palnadu
red gram growth promotor,13-0-45 1 kg /acre in 200 liter water
pegion pea wilt,recomonded dosage coc 3gr/lit water
red gram sowing tim e,recomended for june-july
red gram herbicide,recommended to spray quizalopop ethyl(targa super) 400 ml per acre
redgram seed treatment,recomended rhizobium
rede gram seeds,"lrg -30 , lrg -38"
redgram fertilizer dosage,"nitrogen 8 kgs, 20 kgs phosphorous"
red gram management,neem oil 5 ml/lt water
red gram varieties resistant to pod borer,l.g.g 41:red gram varieties resistant to pod borer
red gram sowing time and varieties,"red gram sowing time and varieties - june to july and varieties- l.r.g-30 , l.r.g-38, l.r.g-41"
asked red gram sowing time,june to july
red gram research station number,contact to 0863–2524017
red gram fertilizers,nitrogen 8 kg + phasporus 20 kg/ acre + 2 tonnes of fym / acre
red gram seed treatment,suggested to treat the seed with imidachloprid 5ml/ liter of water dip for the 12 hours then apply  thiram/captan @ 3 g/kg seed before sowing. finally apply rhizobium culture for seed and immediately sowing should be done
red gram new variety,red gram new variety - puskal
red gram weed management,recommended to spray quizalopop ethyl(targa super) 400 ml per acre
redgram cultural practices,recommended to all practices
pegion pea growth,recomonded doasge multi k 1kg/acre
red gram variety,l.r.g-41: 180 days yeild :8-10 quintals /acre
red gram spacing,spacing 150 between rows and 20 cm between plants
red grams sowing times,recommended for sowing june-august
fertilizer for redgram,urea 20kgs and potash10kgs
asked red gram weed management,"alachlor(lasso , alatop ) 1 litre per acre    ?????????(?????? , ?????? ) ????? 1 ????? 200 ??????? ?????? ????? ???????? ??????"
redgram  root rot,copper oxy chloride (blitox) 600 grams per acre
aphids in red gram,recomended confidor 3ml/10lit water
wilt in redgram,recommended for  blue coper 3 g/l
leaf folding in redgram,"recommended to spray monocrotophos(nuvacron, phoskil, luphos) 300 ml per acre"
red gram market rate,"01/03/2014 0.1 (whole) 3900 4000 3940 
 02/03/2014 0.1 (whole) 3900 4000 3940 
 03/03/2014 0.1 (whole) 3900 4000 3960 
 04/03/2014 0.1 (whole) 3900 4000 3960 
 05/03/2014 0.1 (whole) 3900 4000 3950 
 06/03/2014 0.1 (whole) 3920 4000 3970 
 07/03/2014 0.1 (whole) 4300 4400 4350 
 08/03/2014 0.1 (whole) 4300 4400 4350 
 09/03/2014 0.1 (whole) 4300 4400 4350 
 10/03/2014 0.1 (whole) 4300 4400 4360 
 11/03/2014 0.1 (whole) 4300 4400 4370 
 12/03/2014 0.1 (whole) 4300 4400 4330 
 13/03/2014 0.1 (whole) 4300 4400 4330"
red gram yeilding,red gram yeilding 7-8 q/ac
pegion pea market rates,pegion pea 1200-1300rs/q
asked blackgram seed,l b g 752
red gram price,"district 

market 

arrivals
 variety units min price  max price  modal price  unit of price 

kurnool  

kurnool  
6.1  local  tonnes  2470  5809  5582  rs./quintal 

'' 

nandyal  
0.1  desi(whole)  tonnes  5700  5800  5750  rs./quintal 

prakasam  

addanki  
0  local  tonnes  5750  5800  5770  rs./quintal 

'' 

kanigiri  
0.1  (whole)  tonnes  4400  4450  4430  rs./quintal 

'' 

ongole  
0.1  (whole)  tonnes  5800  5900  5840  rs./quintal 

'' 

podili  
0.1  (whole)  tonnes  5800  5900  5850  rs./quintal"
red gram  wilt damage,blitax 3 gram / liter water
red gram season for rabi,red gram season for rabi:septer 15 to october 15
red gram  white  fly damge,acephate 1.5 gram / liter eater
red gram  leaf eatting catter pller,proclaim 100 grams/acre in 200 lt water
maruca worm in redgram,recommended to spray chloripyriphos 500 ml/acre
fruit fly attack in redgram,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml per acre"
red gram fusarium wilt,recommended to spray propiconazol (tilt ) 200ml /acre
red gram  white flies damage,acephate 1.5 gram / liter water
flower growth of redgram,spray muli k 13-045)1kg/ 200 l water
leaf eating catterpiller of redgram,spinosad 75 ml/acre sprinter  tracer 200 l water
jassids in red gram,apply prochlaim 100 grams per 200 litres of water /acre
leaf eating pest,recommended to spray acephate 300 grams per acre
pest on redgram,"spray, carbosulfon 400 ml + lamdacyhalothrin 400 ml/acre"
red gram fertilizers appilication,recommended 13-0-45kg/acre
wilting in redgram.,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
fruit fly in red gram.,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml per acre"
cohinophora blight in redgram,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
red gram bacterial wilt,recommended for soil drench with coc 30 grams + streptocycline 1 grams/ 10 litres of water
growth in redgram.,recommended to spray multi k 1 kg / acre
red gram sterility mite,recommended to spray dimethoate(rogar) 400 ml/acre
red gram red ants damage,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
fertilizer management in red gram,recommended 1 bag of dap and 35-40 kg urea at last ploughing in red gram
tobacco caterpillar in red gram,recommended to spray novaluran+indoxicarb (plithora) 350 ml per acre
fertilizer use in thrid spilit.,recommended for no use of fertilizers.
sucking pests attack.,"recommended to spray monocrotophos(nuvacron, phoskil, luphos) 400 ml per acre"
growthing in red gram,recommended to spray 19-19-19 kg/acre
green gram flowering & growthing,spray multi-k 1kg per 200 litres of water/acre
more flowering in redgram,recommended to spray multi k 1kg/acre
blight in bengal gram,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
more flowering in red gram,recommended to spray multi k 1 kg per acre
mirge fly in red gram,"recommended to spray monocrotophos(nuvacron, phoskil, luphos) 300 ml per acr"
termites in red gram,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
red gram flower  formation,recommended to  spray multi k (13-0-45) 1kg/acre in 200 lt water
crop growth of red gram,recommended to  spray multi k (13-0-45) 1kg/acre in 200 lt water
flower drop in red  gram,recommended to spray planofix 50 ml/acre
green leaf hopper in red gram,recommended ulala 75 grams per acer
flower formation in red gram,recommended to spray 19-19-19 kg/acre
flowerb drop control in red gram,spray planofix-50ml/acre/200liters of water
white flys in red gram,"recommended to spraytraizophos (titan,hosthathion 300 ml/200 lts /acre"
red gram   flower drop,planofix 50 ml / acre
red gram  flowering & growthing,apply planofix 5 ml per 20 litre water
redgram mealy bug,recommended monocrotophos 2ml/liter
leaf eating caterpillar attack in red gram,spray neem oil @ 5 ml /1 litre of water
tobacco leaf eating caterpillar in red gram,proclaim 100 grams/acre in 200 lt water
red gram flower drop and gram pod borer,recommended to spray planofix 4.5 ml / 20 litre water and chlorpyrifos 500 ml / acre
maruca worm problem inchilli crop,recommended to spray chloripyriphos 500 ml/acre
dry root rot in red gram,recommended to spray  copper oxy chloride 3 gram /1 liter water
