QueryText,KccAns
black gram white fly,"acephate (antaf, artin, lucid )  300 grams per acre"
dosage of nuvan,spraying of nuvan 400ml/200lt
saaf recomended dose,recomended 2gm/lit water
catter piller in black gram,recomended fem 20-40ml/acre
green gram varitey,"lbg 407,lbg 460"
black gram leaf spot,"recommended to spray phosphomidon (demacron, sumidan, kindan plus) 400 per acre"
spots in black gram,recomended for monochroto phus 1.6ml/lt water
black gram blite,copper oxy chloride (blitox) 600 grams per acre
root rot in black gram,recomended blitex 3g/lit water
asked bengal gram sucking pest,"recommended to spray quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre"
control of white fly in   black gram,oberan  150   ml / acre
black gram cercospora leafspot,recommended to spray 30 grams copper oxy chloride+ 1 gram streptocyclin per 10 litres
black gram leaf spots,"recommended to spray carbendazim (bavistin, derosal, carbendazim) 200 grams per acre"
black gram sowing time,dec 1st week
black gram varieties,"black gram varieties  l.b.g -752,w.b.g-26."
black gram weed mangement,recommended to metribugin 200-250gm/acre
black gram protection,"recommended to spray neemoil(azadi,nimbicidin, rakshak) 1 litre per acre"
black gram market information,2750
"nutrient deficiency
in black gram","multi k-1kg/acre (13-0-45)
agromin max 1kg/acre"
black gram sucking pest,"monocrotophos(nuvacron, phoskil, luphos) 400 ml per acre"
black gram sowing,recomended to  sow at nov - dec
caterpillar in black gram,"chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre  ??????????????(???????? , ?????????, ????? , ????????, ?????? ) ??????? 500 ??????  200 ??????? ?????? ????? ???????? ??????"
leafeating catterpillar in blackgram,spraying of monocrotophos 3ml/1lt next vipul 400ml/200lt
leaf crinkle of black gram,dimithiote 1.5ml per acere
control of pallaku tegulu in minumu,agromin max     5 gr / lit of water
control of bangaru teega in minumu,spray     pursuit   200  ml / acre on   20 days    crop
black gram nutrient management(asked to use dap urea potash at 30 das interval),"recomended to use dap,urea,potash(flowering stage)"
"caterpillar damage
in green gram",propinophos 400ml/acre
leaf hopper in black gram,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
leaf eating caterpilar,recommended to spray novaluran+indoxicarb (plithora) 350 ml per acre
yellowing of leavs in black grams,"recomended for kantaf 400ml/acre, blitox 3grms/lt or carbendism 3grms/lt water"
powdery mildew in lackgram,carbandisam 1gr/lit
variety of black gram,variety  lbg 752
cuscuta in b gram,recommended to spray imazitapyr (pursuit ) 400 ml per acre
pod borer in blackgram,recomended for proclaim lit /2.5
sucking pest in gram,recomended confidor 3ml/10lit water
seed treat ment in black gram,recomended thiram 2.5 g/kg seed
weedicide at 26days,recommended to spray quizalopop ethyl(targa super) 400 ml per acre
black gram market rate,"prakasam  

addanki  
0  local  tonnes  5900  6000  5950  rs./quintal"
yvm in black gram,recommended spray of confidor 80 ml/ acre in black gram
flower drop in blackgram,planofix 2ml/10lit
blackgram fruit borer,corogen 60ml/acre
black gram market,market rate
control   of pachha purugu in black gram,proclaim 90  gr  /acre
control of pachha purugu in   black gram,proclaim   90  gr /acre
black gram pod borer,recommended to koragen 60ml/acre
black gram wilt,growng resistant varietys
groeth in green gram,multi k 5 gr/lt water
pre emergence herbicde,recommended pendimethalin
"caterpillar damage
in chilli","propinophos 400ml/acre
benomil 200g/acre"
black gram anthracnose,recomended blitox 3gr / lt weater
black gram cateripiller,recommended to used chloripyriphos 6ml/litre for root drenching   and proclaim 90gm /acere
spraying of herbicide,recomended for pendimethaline spraying before sowing or next day after sowing
black gram growth,recommended to spray multi k @1kg/acre
yellow mosaic  virus,recomende  rogar 2ml/lit water
growth in black gram,recommended for multi k 5grams/1 lt water
asked weather report,no rains
blackgram virus disease,remove the plant in field
b gram leaf eating c p,larwin 1 gr  and  nuvan 1 ml/lt water
virus in black gram,"dimethoate(rogar, rogarin) 400 ml per acre"
block spots on black gram leafs,recomended for coc 3grams/ lt
black gram mosaic,"recommended to spray dimethoate(rogar, rogarin) 400 ml per acre      ??????????(??????, ????????) ??????? 400 ??????  200 ??????? ?????? ????? ???????? ??????"
black gram growthing,multi k 1kg/acre
blite in green gram,recommended to spray copper oxy chloride (blitox) 600 grams per acre
asked about powder mildew in black gram,recommended to spray kerathane@100ml/acre
for control of kuskuta in blackgram,spraying of pursuit 200ml/200lt
wilt in blackgram,recommonded spray of blue copper 3 gram/ litre in blackgram
black gram  mgmt,"acephate (antaf, artin, lucid )  300 grams per acre"
black gram pod fly,"recommended to spray acephate (antaf, artin, lucid )  300 grams per acre   ??????? (??????, ???????, ??????) ??????? 300 ???????? 200 ??????? ?????? ?????"
aphids in black gram,spraying of profenophos 400ml/200lt+surf 100gms/200lt
post emergence herbicide in blackgram,recommended spray of persuit 300 ml/ acre in black gram
asked black gram growth,agrominimax powder 1kg / acre
pod borer in green gram,neem oil 5ml/lit
better growth in black gram,recommended for multi-k 5 g/ltr
black gram leaf hoppor,"recommended to spray quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre"
black gram maruka,corogen 60ml/acre
today market rates of  blackgram,addanki
black gram root rot,recommended to mancozeb 3gm/acre
caterpillar black gram,recommended to spraying of tukumi @125g/acre
asked about blackgram nutrients,recommended to spray multi k@5gm/lit
bud borer in blackgram,recommended spray of acepate 1.5 gram + nuvan 1ml/ litre in black gram
black gram mgmt.,quizalopop ethyl(targa super) 400 ml per acre
blackgram cultural practices,recommended to season for rabi feb-march
powdery mildew and white flies in black gram,"recommended to spray wettable sulphur(sulfex, sultop, )  600 grams per acre . recommended to spray imidachloprid(confidor, tatamida , victor ,atom  ) 150 ml per acre"
black gram cuscuta mgmt,imazitapyr (pursuit ) 300 ml per acre
sucking pest in minumu,recomended  confidor 0.6ml/lit water
black gram yellowing and growth,"mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre 
spray multi k 1kg"
asked for market rates updates,your number is updated for market updates
black gram 2nd fertilizer,recomended urea and potash
pulses seed treaatment,trichoderma viridi 4g/kg seed
control of aphid in minumu,prophinophos    400 ml / acre
for jassids in minumu,spraying of lancergold 150gms/100lt
weedicide after sowing of blackgram,spraying of stomp 6ml/1lt of water
"using coc, larvin, noovan",recomended for to separate as insecticides and fungicides
flowering in black gram,spray multi-k 5g/ac.
black gram seeds,recomended lbg -752
green gram plant growth,recommended to spray 19-19-19 kg/acre
black gram yellowing mosic,"monocrotophos(nuvacron, phoskil, luphos) 400 ml per acre"
black gram sheath rot,recommended to spray spray 30 grams copper oxy chloride+ 1 gram streptocyclin per 10 litres
green caterpillar in black gram,recomended for neem oil 5ml/lt water
black gram virus,recommended spray of confidor 80 ml/ acre in black grams
seed treatment in minumu,recommended  carbosulphan 30g/kg seed
minimu yellowing of leaf,copper oxy chloride (blitox) 600 grams per acre
root eating caterpillar,recommended to used chloripyriphos 4ml/litre for root drenching
black gram powdery mildew,recommended to spray dinocap(kerathane) 400 ml per acre
"caterpillar damage 
in red gram","propinophos 400ml/acre
acephate 300g/acre
10g mgso4+2g urea/lit- spray"
weed management in black gram,no recommendation
for powdery mildew in blackgram,spraying of systhane 100gms/200lt
yellowing of leaves in blackgram,spraying of agromin max 1kg+chelamin zinc 400gms/200lt
for leafhoppers in blackgram,"spraying of lancergold 300gms/200lt,13:0:45 1kg/200lt"
powdery mildew im black gram,recomended kerathane 100ml/acre
fertilizers in minumu,recommended  urea 10kg /acre
black gram sucking pests,recommended to monocrotopos 1.6ml/lit
yellowing of leavs,recomended to macozeb 3grs+carathin 1grms in 1 lt water
black gram flower droping,planopix 2ml/10 lit water
blackgram maaruka machala purugu,recommended to quinolpos 2ml/lit
black gram helicoverpa and growth,"chlofenpyrphos  (intraprid, lepido) 300 ml per acre   
multi-k 1kg/acre in 200 lt water"
black gram  sucking pests,recommended to monocrotopos 1.6ml/acre
black gram mosiac,"dimethoate(rogar, rogarin) 400 ml per acre      ??????????(??????, ????????) ??????? 400 ??????  200 ??????? ?????? ????? ???????? ??????"
for powderymildew in minumu,"spraying of index 100gms/200lt,urea 10gms/1lt for gnut"
weed management in minumu,persuit 300-400ml/acre
caterpillar in blackgram,"chlorpyrphos 20ec(korban, dursban, lethal, classic, radar) 500 ml per acre"
herbicide in 40days crop,not recommended.
seed treat ment,recomended  carbosulphan 30g/kg seed
pendimethalin should not applied at 15days,spray pursuit 400ml/200lt if pendimethalin should not applied
carinospora leaf spots,spray copper oxy chloride 3g/l.
weed control in black gram at 20days stage,recomended to targa super 400ml/acre
asked phosphomidon dose,"recommended to spray phosphomidon (demacron, sumidan, kindan plus) 400 per acre"
asked about blackgram flowering pest,"recommended to spray metahy dematon @2ml/lit
and recommended planofix @2.5ml/10lit"
weedicide in minumu,spraying of pursuit 300ml/200lt next biozyme 400ml/200lt or vipul 400ml
fruit borer in blackgram,spraying of larvin 300gms/200lt
"caterpillar damage
in black gram","propinophos 400ml/acre
muilti k-1kg/acre (13-0-45)
agromin max 1kg/acre"
black gram grouthing,multi k1kg/acre
black gram fertilizer appilication,appilication urea 8kg/acr
black gram yellow mosai virus,remove plants
weedicide at 15days,recommended to spray phenoxy  prop-p-ethyl (whip super ) 200 ml acre
for growth in blackgram,spraying of agromin max 1kg/200lt[5gms/1lt]
asked greengram sowing time,december 1st week
maruka caterpilar in blackgram,recommended spray of takumi 120 gram/ acre in black gram
if rain persist urea can be broadcasted,urea can be broadcasted
control of  aphid in    black gram,actara   70   gr /acre
black gram leaf curl,recomended in monochrotopas 1.6ml/lt/multi-k 1kg/acer
weed management in rice fallow blackgram,recommended spray spray of targa super 400 ml/ acre at 20-25 days after sowing
midges in black gram,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml per acre"
black gram urea mangement,recommended to no need to give
"nutrient management
in blackgram","multi k-1kg/acre (13-0-45)
agromin max 1kg/acre"
control of putha prugu in      black gram,quinalphos  2  ml / lit ogf water
powedry mildew in black gram,recommended spray of bavistin 200 gram/ acre in paddy
pulses sucking pests,"recommended to spray monocrotophos(nuvacron, phoskil, luphos) 300 ml per acre"
whole on black gram,recomended for neem oil 5ml/lt water
weedicide in pulses and oilseeds,spraying of quizalophas ethyle 400 ml/acre
blackgram leaf eating caterpilar,recommended spray of profenophos 2 ml/ litre in black gram
seed treatment in blackgram,"30 grams of carbosulfan (marshall)+ 2.5 grams of thairam (thiride, thairam) or captan(captaf, esso, captan) per kg of seed"
pod borer in black gram,recomended larvin 1.5gm/liter water
black gram yellow spot,coc 3grm/lit water
black gram sucking,"propinophos (curecron, profex,don, bolero)  400 ml per acre"
white fly in blackgram,rogar 2ml/lit
black gram increase growthing,multi k 1kg/acre
leaf eating catter piller,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre"
borer in green gram,"quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre"
black grame leaf rot,3grm mancozeb+dinocap 1ml/lit watrer
yellow mosaic virus in black gram,recommended  prid 40g/acre
flower drop in black gram,"recomended for agrominmax 5grm/lt water,  planofix 2ml/10 lt water"
catterpiller in black gram,recommended  rimon 1ml/lit water
black gram white fly and helicoverpa,recommeded to ulala 75 gm/acre and neam oil 5ml/lit
precautions against the pest and diseases in black gram,recommended to used chloripyriphos 2.5ml/litre for root drenching
weed management in black gram at 30das,recommended to spray imazitapyr (pursuit ) 400 ml per acre
larva in black gram,recomended misile 5ml/10lit water
black gram ghrowth,recomended in multi k 1kg/acer
black gram leaf floder,"recommended to spray dichlorovas (nuvan, doom, fume, lava) 250 ml per  acre"
maruca pest damage in black gram,spraying of quinolphos @ 2 ml/ lit
maruka pest in rice,spraying of quinolphos@ 2 ml/lt
weed in blackgram,imazitfir
asked about blackgram varieties,given information as per the data
asked about subsidy information on blackgram,given him local ao number
asked  black gram,given adress gjuntur lam
asked about white flies in blackgram,suggest to spray triazophos 300ml per acre
maruka pest attack,spraying of spinosad@ 0.3 ml/lt
asked about  flies problem in blackgram,suggest to spray acephate 1.5g per lit
control of yellow mosaic in black,spraying of dimthiote 2ml/litwater
maruca pest attack,spraying of acephate @ 1 gm/lt
conophora leaf spot,spraying of blitax@ 3 gm/lt
time of sowing,given as per data
asked about blackgram seed availabiliy,suggest to consult a.o
asked about irrigation schedule in black gram,suggested to give irrigation at 30 days and after 55 das
spotted boll worm,chloripyriphos 2.5ml
control of stored grain pest in black gram,spraying of malathione 2 ml/lit water
control of flower drop in black gram,spraying of planofix 2ml/10li water
asked about marketing,given him information as per data
mosaic in black gram,dimethoate@2ml/lit
mosaic in blackgram,dimethoate@2ml/lit
weed control in green gram,quisalophos ethyl@400ml/acre
control of mosaic leaf spot in black gram,spraying of dimethioate 2 ml/litre water
asked about webber in blackgram,suggest to spray acephate 1.5g per lit
asked about sowing season of black gram,suggested to sow from nov-dec
weed management in blackgram,recommended pendimethallin 1litre/acre
asked about  herbicide in blackgram at 20 days,suggest to spray quisalophos ethyl 400ml per acre
asked about weed management in fenugreek,suggested for manual weed control instead of chemical control
asked about herbicide in blackgram at 20 days,suggest him to spray quisalophosethyle
powdery mildew effect,spray weetable sulphur
asked about goodgrowth of blackgram,suggest her to apply fertilizes timely
herbicide chemical name,suggested for immajithapire
asked about spottedbollwarm,suggest to spray spinosad
mixture of fertilizers,recommended not to mix
asked about leaf folding in blackgaram,suggest to spray acephate
control of leaf eating caterpillar in green gram,spraying of carbaryle 3 grms/lit water
control of caterpillar in black gram,spraying of dichlorovas 250 ml/acre
control of leaf folder in black gram,spraying of monocrotophas 1.6 ml/lit water
control of spodoptera in black gram,spraying of indoxycarb 200 ml/acre
asked about rat problem in  blackgram,suggest to apply  aluminum phosphide
helicoverpa damage in black gram,spraying of chloripyriphos@ 2.5 ml/lt
asked about irrigation while flowering stage,suggest him do not irrigate now
control of leaf eating caterpillar in black gram,spraying of carbaryle 3 grms/lit water
spodoptera damage in blackgram,spraying of profenofos@ 2 ml/lt
control of weeds in black gram,spraying of quizalophas ethyle 400 ml/acre
helicoverpa damage in blackgram,spraying ofchloripyriphos@ 2.5 ml/lt
control of cuscuta in black grams,spraying of urea 10 grms/lit water
rice fallows blackgram,"rice fallows blackgram lbg645,685,648"
control of seed in black gram,information is given as per panchangam
black gram fungal infection,tridemorph 200ml/acre
black gram seed treament,recommened to seed treament mancozeb 3 gm / kg seed
black gram helicoverpa damage,nuvan 350 ml / acre
yellow mosaic in black gram,"recommended to spray phosphomidon (demacron, sumidan, kindan plus) 400 per acre"
black gram cut worms,recommended to spray novaluran+indoxicarb (plithora) 350 ml per acre
l.b.g-752 crop duration,l.b.g-752 crop duration-75 to 80 days
about management of the spodoptera,proclaim 100 grams/acre in 200 lt water
growth in black gram.,multi-k (13-0-45)1kg/acre in 200 lt water
pod borer poblem in blackgram crop,recommended to spray plithora (nuvalyuron+indoxcarb) 350 ml/acre
black gram  varieties,"lbg-645,685,648,402,752:black gram  varieties"
black gram verities,"p.u-31, t.b.g-104"
black gram  growth,multi - k 5 gram / liter water
black gram sucking pest &  helicoverpa damage,recommend to spray monochrotophos  1.6 milli liter / liter water
black gram weed management,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml per acre"
black gram leaf eating caterpillar,recommended to spray novaluran+indoxicarb (plithora) 350 ml per acre
leaf eating caterpillar infestation in black gram,proclaim 100 grams/acre in 200 lt water
black gram caterpiller,neem oil 5ml/ liter water
jassids in redgram,recommended to spray novaluran+indoxicarb (plithora) 350 ml per acre
black gram flower borer,recommended to spray chloripyriphos 500 ml/acre
weed management in red gram,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml per acre"
black gram summer season,black gram summer season : febuary - march
black gram leaf bligh damage,saaf 2 gram / liter water
seed rate in black gram,recommended 8-10kg/acer
black gram herbicide,not recommended
black gram spodoptera litura,recommended to spray flubendamide(fame) 40-50 ml per acre
black gram seed varities,"recommended lbg-752,pu-31"
rust in black gram,spray mancozeb 400 grams per 200 litres of water/acre.
weed management in pulses,recommended to spray pendimethalin(stomp) 1-1.25 litre/acre
about management of the borers,proclaim 100 grams/acre in 200 lt water
cultivation of black gram,varites :l b g 752 
sucking pest in black gram,spinosad 75 ml/acre sprinter  tracer
leaf eating caterpillar in black gram,recommended to spray profenophos 400 / acre in 200 liter water
about management of the powdery mildew,recommended to spray dinocap(kerathane) 400 ml per acre
yellow color leaf  in black gram,recommended to spray copper oxy chloride (blitox) 600 grams per acre
black gram grasshoppers,recommended to spray neem oil 5ml/l
proper growth of black gram,multi-k (13-0-45)1kg/acre in 200 lt water
growth for black gram,recommended to spray multi-k 1 kg/acre
pest attack in black gram,recommended to spray chloripyriphos 500 ml/acre
grouth for black gram,recommended to spray multi-k 1 kg/acre
white fly attack in black gram.,spray dimethoate(rogar   rogarin)  400ml/acre
black gram seed treatment,apply thairam 2.5g/1 kg of seeds
powder growth in black gram,recommended to spray dinocap(kerathane) 400 ml per acre
red colour leaves in black gram,"apply, anna bhedi 1 kg + nimma vuppu 200 gr/acre"
black gram tobacco cater pillar,"recommended to spray chlofenpyrphos  (intraprid, lepido) 500 ml per acre"
sucking pest of black garam,spray fipronil@ 2ml/l or spinosad @ 0. 75 ml or pegasus @ 1.5g/l of water
black gram seed treat ment,recommended carbendazim 2g/kg seed
weedmanagement in  blackgram,recommended to spray pendimethalin(stomp) 1-1.25 litre/acre
black grm varities,"l.b.g-752,pu-31,p.b.g-107"
black gram flowering  drop,recommended to spray planofix 4.5 ml/20 litre
black gram  leaf spot,mancozeb m-45  2.5 gram / liter water
pod  borer in  black gram,proclaim 100 grams/acre in 200 lt water
tobacco caterpillar problem in blackgram,recommended to spray chloripyriphos 500 ml/acre
blackgram white fly,recommended for spray acephate 300 gr/acre in  200 lt water
blsack gram ymv damage,recommended to remove effected plants & spray acephate 1.5 gram / liter water
thrips damage in minumu,"recommended to spray difenthiuron(polo,pegasus) 300 grams/acre"
seed treatment in black gram crop,recommended seed treatment in black gram - carbosulfan 30gr/1 kg seed and 2.5 gr/1 kg seed
black gram weed management post emergence,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml per acre"
cultivation of blackgram,varites : l b gb  752 
black gram cercospora leaf spot damage,chlorothalonil( kavach ) 400 gram / acre
blackgram market info,blackgram market info 15/12/2015 min 10000 -max11000
pulsese weed management,recommended to spray propaquizafop(agil) 250-300 ml/acre
post-emergence in black gram,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml per acre"
post emergence in black gram,recommended to spray propaquizafop(agil) 250-300 ml/acre
corinospora leaf spot problem in blackgram,recommended to spray copper oxy chloride (blitox) 600 grams per acre
leaf curl managemenht in black gram,"recommended to spray acetamipride(pride, manik,vermit) 40 grams per acre"
black gram leaf eatting catterpiller,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml per acre"
black gram weedicide,"recommended to spray imazitapyr ( weedblock, pursuit, ) 300- 400 ml per acre"
proper growth in black gram,multi-k (13-0-45)1kg/acre in 200 lt water
black gram fungal infestation,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
black gram kaskuta weed management,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml per acre"
green gram growth initiation,recomanded to spray multi k 1kg/acre
yellow mosaic (pallaku tegulu) in black gram,recommended to spray   monocrotophos 400 ml / acre
white fly effect on black gram,recommended to spray dimethoate(rogar   rogarin)  400ml/acre
white flies management in black gram,acephate 300 gr/acre in  200 lt water
seed varity in black gram,recommended lbg-752
leaf eating pest in black gram,recommended to spray novaluran+indoxicarb (plithora) 350 ml per acre
root rot damage in black gram,recommended to spray copper oxy chloride (blitox) 600 grams per acre
powedery mildew in black gram,recommended to spray dinocap(kerathane) 400 ml per acre
black gram fruit rot,recommended to spray  nativo 160g/ac
leaf mosaic in black gram,rogar 400 ml / 200 liter water
green gram tobacco caterpillar,recommended to spray neem oil 5ml/liter water
white flies in black gram,oberon 250ml/acre in 200 lt water
seed treatment in black gram.,recommended for seed treatment with rhizobium culture
leaf eting catter pillar in black gram,spinosad 75 ml/acre sprinter  tracer
black gram flowering,recommended to spray 13-0-45 1kg/ac
black gram yellow mosaic varies,recommended to spray novaluran+indoxicarb (plithora) 350 ml per acre
black gram leaf eatting catter piller,recommended to spray chloripyriphos 500 ml/acre
pest pro. in red gram,ssprey rewc. dosage of neem oil
weed management in black gram at 30 days,advised to take up manual weeding
black gram seed rate/acre,black gram seed rate: 16-18 kgs/acre
black gram sowing time in rice field,black gram sowing time: nov to dec 10
black gram wilting,recommended for 30 gr coppor oxy chloride and 1 gr streptocyclin  in 10 ltr of water
weedicide in blackgram,spray azil 250 ml per 200 litres of water/acre.
black gram pod rot,recommended for 30 gr coppor oxy chloride and 1 gr streptocyclin  in 10 ltr of water
about weed management in black gram,recommended to spray propaquizafop(agil) 250-300 ml/acre
black gram post emergence weed management,recommended to spray ajil 250 ml / acre
stem borer infestation in black gram,takumi(flubendamide)-125gm/200liters of wateer
weed managemant black gram,recommended to spray pendimethalin(stomp) 1-1.25 litre/acre
black gram weed magaement,propaquijapop 250 milli liter / acre
yellow mosaic disease problem in blackgram,recommended to spray vector (white fly) contol - acephate 300 gr/acre
pre-emergence herbicides use in black gram,recommended to spray pendimethalin(stomp) 1-1.25 litre/acre
blackgram yellow mosaic,"yellow mosaic
(pallaku tegulu)	spray monocrotophos @ 1.6ml/l or acephate @ 1.5g/l or triazophos @ 2ml/l of water to control the vector (whitefly)."
black gram rust,recommended to spray tridimorph @ 1ml/l or mancozeb @ 3g/l of water.
weed conrol of black gram,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml 200l water per acre"
black gram fertilizers,basaldose: 1bag dap
post emergence herbicides use in black gram crop,"recommended to spray imazitapyr ( weedblock, pursuit, ) 300- 400 ml per acre"
black gram varities,"lbg-752,pu-31"
blackgram weed management,not recommended
black gram yellow mosaic,"recommended to spray phoslone (jolone, faslone) 400 ml per acre"
black gram spodotera litura,"recommended to spray flubendamide(fame) 40-50 ml per acre or 
  
proclaim 100 grams/acre in 200 lt water"
black gram post emergence herbicide,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml per acre"
about management of the leaf spot,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
black  gram anthracnose,recommended to spray copper oxy chloride (blitox) 600 grams per acre
black yellow mosaic virus,apply neem oil 1 liter/ acre
nutrient management in black gram,multi-k-1kg/acre/200liters o fwater
leaf eating caterpillsar infestation in black garm,proclaim 100 grams/acre in 200 lt water
black gram yellowing,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml per acre"
weed  management in pulses,recommended to spray propaquizafop(agil) 250-300 ml/acre
black gram leaf damage,"recommended to spray chlofenpyrphos  (intraprid, lepido) 300 ml per acre"
cercospora leaf in black gram,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre"
black gram suckin pest,acephate 300 gr/acre in  200 lt water
spotted bollwarm in black gram,recommended to spray novaluran+indoxicarb (plithora) 350 ml per acre
proper growth in black green,multi-k (13-0-45)1kg/acre in 200 lt water
leaf folder in black gram,recommended to spray corazen @ 60 ml per acre
black gram  yellow mosaic  damage,remove effecyed plants damage &  spray acephate  1.5 gram /liter water
pest damage in pulses,spinosad 75 ml/acre sprinter  tracer
black gram white flies,"recommended to spray imidachloprid(confidor, tatamida , victor ,atom  ) 160 ml per acre"
white flies managemnt in black gram,acephate 300 gr/acre in  200 lt water
black gram sooty mould,"recommended to spray acetamipride(pride, manik,vermit) 40 grams per acre"
sucking pest of black  gram,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml200l water per acre"
sucking pest of blackgram,"recommended to spray triazophos (hostathion, titan, sutathion) 300 ml200 l water per acre"
sucking pest problem in blackgram,recommended to spray bifenthrin (tallstar) 325 ml/acre
black weed management,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml per acre"
black gram weed control,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml per acre"
about management of the whitefly in black gram,recommended to spray acephate 300 gr/acre in  200 lt water
leaf eating caterpillar infestation in  black gram,proclaim 100 grams/acre in 200 lt water
black gram flower drop,recommended to spray planofix 4.5 ml/20 litre
black gram irrigation,before flowering and pod formation stage:black gram irrigation
bengal gram leaf eating cater piller,monochrotophos 1.6 milli liter / liter water
black gram fertilizers appilication,recommended spray 13-0-45kg/acre
yellow mosaic disease problem in black gram,recommended to spray vector control - acephate 300 gr/acre
plant growth in black gram,recommended to  spray multi k
post emergence herbicides use in blackgram crop,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml per acre"
post emergency herbicide in black gram,"recommended to spray imazitapyr ( weedblock, pursuit, )300- 400 ml per acre"
season for sowing black gram,season for sowing black gram december
leaf blight management in black gram,"recommended to spray captan(captaf, esso, captan) 500-600 grams per acre"
bengal gram cut worms,recommended to spray novaluran+indoxicarb (plithora) 350 ml per acre
black gram bacterial wilt,recommended for 30 gr coppor oxy chloride and 1 gr streptocyclin  in 10 ltr of water
black gram powdery mildew damage,recommended to spray wettable sulphor 3 gram / liter water
