QueryText,KccAns,Language
asked about control of rice leaf folder,recommended to spray acephate 1.5gm/lt,en
asked about control of rice hispa,recommended to spray chloripyriphos 2ml/lt,en
asked about contol of rice stem borer,recommended to spray carbofuran granules 8kg/acre,en
asked about thr control of leaf folders in rice,recommended to spray monocrotophos 1.6ml/lit,en
asked about the control of zinc deficiency.,recommended for the application of 20kg zinc sulphate/acre.,en
asked about the appilication of azolla in rice field.,informed that to apply 100-150kg azolla with 50kg s.s.p/acre,en
asked about the control of weeds.,recommended to spray sihalopopbutyl 400ml/200lit,en
asked about the control of leaf folder.,recommended to spray chloripyriphos 2ml/lit,en
asked about the control of brown plant hoppers,recommended to spray chlorpyriphos 2ml/lit,en
asked about the control of caseworm,recommended for the application of chloripyriphos 2.0ml/lit,en
asked about the control of bph.,recommended to spray carbofuran 3g @ 10kg/acre.,en
asked about the control of leaf folders in rice,recommended to spray chlorpyryphos 2ml/lit,en
asked about the control of caseworm.,recommended to spray chloripyriphos 2ml/lit,en
asked about the zinc deficiency.,recommended to spray 2gm zincsulphate/lit,en
asked about recommended fertlisers for rabi,recommended as 28:24:16 of n:p:k,en
asked about the controlof of leaf folders in rice,recommended to the chlorpyriphos 2ml/lit,en
asked about control for rice stem borer,recommended to spray cartop hydrochloride 2gr/litre,en
asked about stem borer in rice,recommended to spray cartaphydrochloride 2gm/lt,en
asked about zinc dosage in rice,recommended to apply zn is 20kg/acre,en
asked about control rice leaf folder,recommended to spray chlorpyriphos 2.5ml/lt,en
asked controlof rice stem borer,recommended to spray cartaphydrochloride 2gm/lt,en
asked sbout control of rice stem borer,recommended to spray chlorpyriphos 2ml/lt,en
asked about fertilizer dose in rice,"recommended to apply n-40,p-20,k-20",en
asked about control of rice blast,recommended to spray ediphenphos 1ml/lt,en
asked about rice stem borer,recommended to spray chlorpyrpihos 2.5ml/lt,en
asked about the fertiliser  management in zinc deficiancy land,recommended to apply zinc sulphate 2gm/lit,en
asked about the dosage of carbofuran granules t applied,recommended for the aaplication of 160 gm/cent,en
asked about the fertiliser management in rice,recommended to aplly zinc suphate 2gm/lit,en
asked about the fertilizers.,"recommended to apply 1kg nitrogen,phosporous,potash",en
asked about control for rice hispa damage,recommended to spray chlorpyripos 2ml/litre,en
asked about the control of syem borer in rice,recommended to spray carbofuron 3g granules 10kg/acre,en
asked about rice leaf folder,recommended to spray cantaphydrochloride 2.5g/1lt,en
asked about control of rice stemborer,recommended to spray chlorpyriphos 2ml/lt,en
asked about control of rice bph,recommended tro spray acephate 1.5 gm/l t,en
asked about control of bph in rice,recommended to spray acephate 1.5 gm/lt,en
asked about fertilizer dosage in rice,recommended to apply zinc 20kg /ac,en
asked about control of climbing cutwarm in rice,recommended to spray endosulfan 2ml+dichlorovas 1ml/lt,en
asked about control of rice sheath blight,recommended to spray hexaconazole 2ml/lt,en
asked about control for rice sheath blight,recommended to spray contoff 2ml/litre,en
asked about the control ofrice case worm,recommended to spray chloripyriphas 2.5 ml/ltr,en
asked about the control of rice hispa.,recommended to spray chloripyriphos@2.5ml/lit or prophenophos@2ml/lit,en
asked about weed control in rice,recommended to spray benthiocarb1.25mlin 25kg sand mix them and spray on the ground,en
asked about dosage of zipsum in rice,recommended to apply 20kg/acre zinc sulphate,en
asked about control of bph damage in rice,redommended to spray acephate 1.5gm/lt,en
asked about fertilizer requirement in rice for kharif season,"recommended to spray n-45,p-24,k-16kg/acre",en
assked about control rice stem borer,recommended to spray cartphydrochloride 4g/ac,en
asked about control for rice stem borer damage,recommended to spray chlorpyripos 2.5ml/litre,en
asked about weed management in rice,sugested to spray bis pyrithioback sodium 100-120 ml per acre,en
"asked about 2,4-d sodiumsalt dosage",suggest him 500g per acre,en
asked about application of complex fertlizers in paddy 20 dats after transplanting,suggested to not to use complex fertlizers and advised them to apply srtaight ferilizers,en
asked about whitening of leaves in paddy,suggested to apply 20 gm annabedi + 3 gm  citric acid per lit water,en
zn def in paddy,suggested to spray znsulphate 2g/lt,en
zn deficiency in paddy,suggested to spray znso4 @ 2 g/lt of water,en
"ffertlizer application in paddy		
reclamation of alkaline soils","suggested to apply urea, ssp and potash		
 and apply gypsum 1tonn/acre",en
asked about management for stem borer in cotton,suggested to spray monocrotophos 1.6 ml/lit water,en
asked about weed management in paddy  15 days after transplanting,suggested to spray cyhalopopbutyl 2400ml/200 lit water,en
asked about control of leaf folder in rice,suggested to spray acephate@1.5gm or chloropyriphos@2.5ml or cartophydrochloride@2gm per liter water,en
asked about weesicide in rice at 4days age,suggested to spray top star @ 30g/acer,en
fertilizer daosage in paddy,suggested to apply 32:24:16 as n:p:k,en
asked about application of carbofuron granules  in paddy seedlings,suggested to apply @ 160gm/cent,en
weed management in paddy after 20 days,suggested ethoxysulphuron @ 50gm/200 lit water,en
asked about suking pest in rice,suggest him to spray acephate 1.5g per lit,en
asked about aphids problem in groundnut,suggest him to  spray dimethoate 2ml per lit,en
bph management in paddy,suggested acephate @ 1.5gm/lit water,en
asked about biofertilizers used in paddy,"suggested azosprillum, azotobacter, mycorhizal and phosphobacteria",en
helicoverpa management in paddy,suggested to spray chloripyriphos @ 2.5ml/lit water,en
asked about herbicide in rice,suggested to spray top stat @ 30 g/acer in 20 kg of sand,en
asked about zinc deficiency in rice,suggested to spray zns04 @ 2g/lt of water,en
fertilizer requirement paddy,suggested to apply 32:24:18 as n:p:k,en
asked about ap agroseeds  contact details,information given as per data,en
asked about diseses in rice,suggested to spray coc @ 3g/lt of water,en
herbicide in paddy,"2,4,d salt 400g for 200lit of water",en
asking about leaf folder control in rice,spray chlorpyriphos 2.5 ml/liter  water,en
asked about weedicide in rice  at 6days age,suggest him to spray anilophos 0.5lt per acre,en
asked about mixing of urea and neen oilin rice,suggest him not to mix,en
spray of weedicide in paddy 3 days after transplanting,suggested to spray pritilachlor 500ml mixed in dry sand and  apply,en
crop grown after paddy harvesting,suggested to grow maize or sunflower,en
stemborer in bhendi,spray profinophos 2.5 ml/liter water.,en
asked about rice market price,told as per ap agris net,en
availability of cono weeder in sri rice,given the relavant contact details,en
seed treatment in rice,suggested to treat the seed with carbendazim 3g/k seed,en
fertilizer application in paddy,suggseted to apply  n in split doses in the form of urea 50 kg urea with 10 kg neem cake  kept for two days and apply and p  and k at the time of last plouhing,en
asked about management of leaf folder in paddy,suggested to spray chloripyriphos @ 2.5ml/lit water,en
asked about rice transplanter,suggested to contact mandal agril.officer,en
zinc deficiency in paddy,suggested zinc sulphate @2gm/lit water,en
askedabout stored grain pest in rice,suggested him to spray 0.5% malathion,en
asked about weeicide in rice at 4days after transplanting,suggest him to spray  pretilachlor .5lit per acre,en
weed management in paddy,"2,4-d sodium salt @ 300 g/lt of water",en
asked about management of green leaf hppper in paddy,suggested to spray acephate @ 2ml/lit water,en
weed control in rice?,application of butachlore 5% granule 4kg /acre with 20 kg soil,en
weedicide used in paddy 3 days after transplanting,suggested butachlor @ 1.5 lit mixed in 25kg sand and apply,en
herbicide in rice,suggested to spray top star @ 30 g/acer,en
management  of bph  in paddy,spray imidachloprid + ethyprol@ 0.25gm/ lit water,en
asked about weedicide in rice,suggest him to spray pretilachlore 500ml per acre,en
weedicide used in paddy 15 days after transplanting,suggested to s[ray ethoxy sulphuron @ 50gm/200lit water,en
asked about biofertilizers  used in rice,"suggested to apply azolla, azotobacter and micorhyiza",en
asked about sucking pest in rice,spraying of acephate @ 1.6 g/lt,en
asked about the control of stem borrers,recommended to spray monocrotophos 1.5ml/lit,en
asked about herbicides in rice,spraying of butachlor 50% @ 1-1.5lt/acre,en
asked about herbicibes in rice at 10 days stage,suggested for spraying of pyrazosulphuran 5% @ 80 g/acre,en
asked about broad leaves weed control in rice fields before sowing of seed,suggested to spray oxidiarzil 30gm per acre,en
asked about deficiency ofzinc in rice,spraying of zinc sulphate @ 2g/lt,en
asked about weed mangement in rice,"rice-weed management-suggested to apply 400gm 2,4-d per 200 lit water",en
asked about nursery area for one acre of rice,suggested that for one acre 5 cents nursery is necessary,en
asked about control of thrips in rice,suggested to spray monochrotophos 1.6ml per liter water,en
asked about the control measures for zinc deficiencies in rice,suggested to spray znso4 2gm/lit,en
asked about weed management in rice nursery,suggested to spray cyhalophos butyl 400ml @200 lit of water,en
asked about weedicide usage in drum seeded rice,suggested to spray butachlor 1 lit per acre after two days of sowing,en
asked about nursery management in rice,given information as petr data,en
asked about shoot borer in rice,suggested application of carbofuran granules @ 160g/cent nursery,en
asked about rice drum seeder,"1. seed rate required - 15 kg per acre2. time required for direct seeding - 120 minutes (2 hours)3. labour required - 3 persons [one for pulling the drum seeder, one to help the puller to lift the machine at the end of the field, and one to fill/refill the seed in the drums].4. weedicide use is a must 5. sprouted paddy seeds are filled to 3/4 level in each of 4 drums, and once the seedr is pulled, seeds fall in 8 rows @ 20 cm with between the rows.",en
asked about pest management in nursery,application of carbofuran 3 g @ 160 g/cent of nursery,en
asked about reddening of leaves in paddy seedlings,suggested to spray 2gm zinc sulphate / litre water  spray 2-3 times in 5 days intervaland also suggested to spray annabedi 20 gm with 2gm citric acid / litre water to reduce iron deficiency,en
asked about weed management in  paddy,suggsested to  spray topstar,en
asked about management of crabs in paddy,suggested to apply phorate granules (timmet) 5kg/acre  and cost nearly 200 rs,en
asked about management of aphids in paddy,suggested to spay imidachloprid and water in  ratio of 1:20 or acephate @1.5 gm / lit water,en
asked about yellowing of rice,suggested to spray zns04 @ 2 g/lt of water,en
asked about mixed cropping  and inter cropping in paddy,"suggested to plant cowpea, green gram	as mixed cropping and also for inter cropping suggested according to the land type				
a number of crops are grown as intercrops with upland, lowland and deepwater rice, depending on farmers? preferences/needs and length of the growing period. in an upland situation, intercrops include pigeonpea, soybean, amaranthus, cowpea, black gram and groundnu",en
asked about paddy drum seeder,"details of the direct-seeding technology (on per-acre basis):1. seed rate required - 15 kg
2. weedicide use is a must, and if needed (in fields where weed problem is high), a
second application at 30 days after sowing is also done in addition to the first
application made within 2 days after sowing.
3. sprouted paddy seeds are filled to 3/4 level in each of 4 drums, and once the seedr is pulled, seeds fall in 8 rows @ 20 cm width between the rows.",en
asked about reddening of leaves in rice,suggested to spray znso4 @ 2g/lt of water,en
asked about cotton flower drop,suggested tospray planofix @ 2ml/10 lt of water,en
asked about nusery management in rice,given information as per data,en
asked about rice nursery management,nunursery management in rice-suggested that spraying of znso4 2gm per liter water for zinc deficiency and suggested to apply carbofuran 3g 160gms per cent nursery,en
asked about disese rice nursery,suggested to spray mancozeb @ 2.5 g/lt of water,en
asked about rice weed management,suggested to apply butachlor@1.5lit or anilophos@500ml along with 25 kilos fine sand at 3days or 5days after sowing,en
asked about control of gallmidge in rice,suggested to apply carbofuran granules@10kilos or phorate@5kilos per acre,en
asked about weed management in rice nursery at 15-20days,suggested to spray cyalopop butyl@400ml per 200lit of water,en
asked about weed managemnet in rice,suggested to spray pyrazosulfuran 5% wp @80gm per acre after 8 to 10 days of transplanting,en
asked about fertilizer application in paddy,"suggested to  applt 50 kg urea with 10 kg neem cake or with 250 kg wet sand kept  till 2 days and apply , 24 kg p and 24 kg k",en
"asked about the application of folidol dust before planting of paddy	
and also about weed management in paddy","suggested to apply folidol  dust one 4-5 days before planting		
for weed management suggested to spray butachlor @1.5 lit in 200 lit water per acre",en
asked about herbicide in rice at 20-25 days,"suggested to spray 2,4-d @ 500g/acre",en
asked about improper growth in paddy,"suggested to applied required dose of fertilizers 64:32:32 n, p and k kg/acre",en
asked about fertilizer application in rice,information given as per data,en
asdked about the amount of zn sulphate application for paddy,suggested to apply 20 kg per acre,en
asked about weed management in rice drum seeder method,"weedicide is a must once or twice. butachlor just 1-2 days after seeding, and if necessary 2.4-d. sodium salt application at 30-35 days after seeding.
conoweeder is run in
one direction only, either
e-w or n-s, i.e., in the
direction in which the
drum-seeder was pulled.",en
asked about nursery management in paddy,"suggested to apply 2 kg nitrogen,1 kg phosphorus and 1 kg potash",en
asked about rice blast in rice,suggested to spray tricyclazole 75% 0.6g/lt of water,en
asked about weed management in drum seeded rice,"weedicide is a must once or twice. butachlor just 1-2 days after seeding, and if necessary 2.4-d. sodium salt application at 30-35 days after seeding.conoweeder is run in one direction only, either e-w or n-s, i.e., in the direction in which the
drum-seeder was pulled.",en
asked about control of stem borer,recommended to spray 2gm/lit,en
control of gall midge in rice,application of carbofuran 3g 10kg/acre,en
control of stem borer in rice,spraying of cartaphydrocloride 2gm/lit water,en
asked about control of glh,recommended to spray monocrotophose 1.6ml/lit,en
asked about control of b.p.h,recommended to spray ethophen prox 300ml/acre,en
control of leaf folder in rice,spraying of monocrotophos 1.6ml/li water,en
asked about control of leafspot disease,recommended to spray mancozeb 2gm/lit,en
contreol of leaf folder in rice,spraying of cartaphydrocloride 2gm/lit water,en
asked about fertilizers,recommended from panchangam,en
leaf folder damage in rice,spraying of cartop hydrocholoride 2.0 g per one lit of water,en
iron and zinc defeciency in rice,spraying of 2 g zinc sulphate and 10 g iron sulphate per one lit of water,en
stem borer damage,application of phorate granules,en
bph damage in rice,spraying of ethofenprox 2.0 ml per one lit of water,en
control of casevaram in rice,spraying chlorpyriphos 2ml/1 lit water,en
leaf eating caterpillar,spraying of dichlorovas and mono 1 ml and 2.5 ml per one lit of water,en
asked about the control of stem borer,recommended to spray monocrotophos 1.6ml/lit,en
stem borer damage in rice,spraying of cartophydrocholoride 2.0 g per one lit of water,en
duration of  rice 1010,given information as per  the data,en
zinc and iron deficiency,spraying of zinc sulphate 2.0 g per one lit of water,en
fertilizer application in rice,recommanded information has given,en
control of weed  in  rice,applying butachlore 5kg+sand3kg/1 acer,en
rice iron and zinc defeciency,spraying of zinc and iron suphate 2 and 5 g per one lit of water,en
fertilizer application of second dose,recommanded information has given,en
panicale biting caterpillar,spraying of 2.0 ml of choliripyriphos per one lit of water,en
asked about control of gallmdge,use corbofuran 3g 10kg/acre,en
asked about fertilizer quantity,provided information as per vyavasayapanchangam,en
asked about znso4 dosage,recommended to 20 kg/acre,en
asked about control of weed,recommended to use butachlore granules 4kg/acre,en
asked about control of reddennin of leaves,spraying of znso4 2gm/lit water,en
asked about the rice blast,spray tricychlozol 0.6 gms/1 lit of water,en
control of weeds in rice,applying 500ml repit mixed with 20kg sand,en
control of hispa in rice,spraying chloropyriphos 2ml/1 lit water,en
asked about fertilizer dosage,provided information as per data,en
asked about fertilizers quantity,provided information as per data,en
asked about fetilizer,provided information as per data,en
asked about fetrilizers using,provided information as per vyavasaya panchangam,en
controll of  stem borer in rice,applying cartap hydrochloride granules 5kg/1 acer,en
asked about control of green leaf hopper,spray eciphate 1.5gm + monocrotophose 2.2ml/lit water,en
asked about mixing of fungicides & pesticides,provided information as per vyavasaya panchangam,en
controll of leaf folder in rice,sprayinfg of chloripyriphos 2 ml/ lit of water,en
asked about control of bph,spray monocrotophose 2.2ml/lit,en
controll of hispa in rice,sprayinfg of chloripyriphos 2 ml/ lit of water,en
asked about fetilizers,provided information as per data,en
asked about control of whorl maggot,recommended to cloripyriphose 2.5 ml/lit,en
controll of leaf hispa in rice,sprayinfg of chloripyriphos 2 ml/ lit of water,en
asked about the details of weed control in paddy nursery,suggested to spray butachlor 1.5lit/200 lit,en
nursery area for one acre of rice,for one acre 5 cents nursery,en
asked about rice seed distribution through agriculture department,suggested to consult mandal level agriculture officer,en
asked about weed control rice nursery,suggested to spray cyhalophos 400ml/200lit water,en
asked about the control measures for zinc deficiencies,suggested to spray znso4 2gm/lit,en
asked about the contact details of bapatla rice research station,given the contact details as per panchangam-08643225901,en
staem borer damage,applaying of phorate granules,en
whitening of leaf ends due to the defficiency of iron,spray 20 gm of annabedhi /ltwater,en
stem borrer in rice,spraying cartop hydrochloride 2gr/1 lit water,en
rice gundghi bug,malathion  2 ml/ lt water,en
neem fertilizers information,given information as per the data,en
asked about control of climbing cutworm,recommended to spray monocrotophos 1.6ml/lit,en
asked about fertiliser management,provided information as per vyavasayapanchangam,en
control of bhp in rice,spraying of acephate 1.5gm/li water,en
asked about control of storage pests in rice,spraying of malathioan 2 ml/lit water,en
asked about weed contol,recommended to spray butachlore,en
asked about control of stemborer,recommended to use cortophydro chloride 4g granules 8kg/acre,en
asked about zn,"recomonded znso4
2gm/lit of water",en
asked about stem borer,recomonded cartap hydro chloride 2gm/lit of vwater,en
asked about bph,monocrotopos 2.5ml+acephate 1.5gm/lit of water,en
control of weed in rice,given information as per the data,en
tobbaco caterpiller controle,spray quinnolphos 2 ml /lt water,en
asked about goodgrowth  of rice,suggest to spray 19,en
asked about basmathi rice,suggested to contact rice research station,en
leaf folder in paddy,spraying of cartap hydrochloride@ 2 gm/lt,en
pest in rice bed,application of carbofuran 3 g granules/cent,en
control of reddening of leaves,spraying of zinc sulphate 2 grm/lit water,en
control of zinc deg in rice,spraying of znso4 2 grm/lit water,en
yellow stem borer in rice,spraying ofcartap hydrochloride@ 2 gm/lt,en
asked about bph in rice,spray ethofenphrax 2ml per lit,en
leaf folder in rice,spraying of cartap hydrochloride@ 2 gm/lt,en
asked about rice harvesting,given him information as per data,en
zinc defeciency in rice,spraying of zinc sulphate@ 2 gm/lt,en
aske about leaf folder in  rice,suggest to spry chloripyriphos,en
asked about leaf folder in rice,suggest to spray chloripyriphos,en
zinc defefiency in rice,spraying of zinc sulphate@ 2 gm/lt,en
weedicide in paddy 20 das,spraying of (metsulphuran methyl+chlorymuran methyl)@ 16 gm/acre,en
asked about goodtillering of rice,suggest to apply fertilizers,en
asked about leaf foldiner in rice,suggest to spray cartaphydrochloride 2g per lit,en
asked about weed management in paddy,suggested to spray ptrazo sulfuran@80gms per acre,en
asked about diseases in rice,suggested to spray coc @ 3 g/lt of water,en
control of yellowing of leaves inrice,information is given as per panchangam,en
casked about bio ferlizer usage in rice,information is given as per panchangam,en
kauntaf hydrochloride 4g granules,suggested 8kg/acre is required,en
asked about mite in rice,suggest to spray dicophol,en
asked about mite,suggest to spray dicophol,en
asked about crop insurance,given him information as per data,en
control of zinc deficiency in rice,spraying of zinc sulphate 2 grm/lit water,en
fertilizer management inrice,dap + urea + mop as per his feild conditions,en
asked about weed management in bunds,suggested to spray glyphosate@5ml per liter water,en
zinc def in rice,spraying of zinc sulphate @ 2 gm/lt,en
weedicide in rice,no weedicide recomended at 30 days crop,en
asked about cultivater cost,suggest him to contact ao,en
asked about aphid  control in rice,suggest to spray dimethoate 2ml per lit,en
control of weeds rice,spraying of butachlore 1 lit/acre,en
rats in rice crop,bait mixed with aluminium phospide,en
preparation of rice bed,explained as per procedure,en
asked about rice harvesting machine,suggested to contact ap agro seeds,en
asked about bphc control,suggested to spray aplad 2ml/lit,en
asked about  bph in rice,suggest to spray ethofenphrax,en
asked about soil enrichment,suggested to grow green manure crops,en
sucking pest in rice,spraying of bufrofagen@ 300 ml/acre,en
asked about  leaf folder in rice,suggest tospray chloripyriphos,en
asked about leaf folder,sugget to spray chloripyriphos 2.5ml per lit,en
asked about rice bph,suggest to spray ethofenphrax 2ml per lit,en
asked about control of blast in rice,suggested to spray tricyclozole@06gm or  kasuga mysin@2.5ml/lit water,en
sri vari cultivation,given the techniques of how to use marker,en
asked about rat control in rice fields,suggested to apply zinc phosphide 2gm mix with 3gm of rice,en
asked about nuteient management in rice,suggested to spray 19-19-19 @5gm per liter water,en
damage due to weed 2 days crop,suggested to spray butachlor 1.5 lit/acre,en
animals feed on the crop asked for solution,suggested to apply fertilizers,en
stored grain pest,malathion,en
asked about bph  in rice,suggest to spray ethofenphrax,en
asked about brown plant hopper,suggested ethofenphrax to spray,en
control of yellowing of leaves in rice,spraying of zinc sulphate 2 grms/lit water,en
control of bph in rice,spraying of bhuprophezin 300 ml/acre,en
asked about control of mani pandu tegulu in rice,suggested to spray carbendizam@1gm per liter water,en
stem borer in rice,spraying of cartap hydrochloride@ 2 gm/lt,en
control of gundhy bug in rice,spraying of prophenophos 2 ml/li water,en
asked about time of phosporous application,suggest him to apply uring last ploughing,en
asked about sedd source of paddy,information is given as per data,en
yellow stem borer,spraying of cartap hydrochloride@ 2 gm/lt,en
brick coloured leaves poor growth,spraying of zinc@2g/lit,en
fertilizer management in rice,urea and mop one bag each as per his feild conditions,en
control of yellowing of leaves of rice,spraying of multi k 5 grms/lit water,en
about carbofuron granules in rice bed,application of carbofuran granules@ 160 gm/cent,en
yellow stem borer in chilli,spraying of cartap hydrochloride@ 2 gm/lt,en
asjked about bph in rice,suggest to spray ethofenphrax  2ml per lit,en
control of weeds in paddy field,spraying of petrila chlore 0.5 lit /acre,en
control of cut worm in rice,spraying of carbaryle 3 grms/lit water,en
control of zinc def in rice,spraying of zinc sulphate 2 grm/lit water,en
asked about control of bph on rice,suggested to spray acephate@300gm per acre,en
asked about sri cultivation,expalined the procedure,en
asked about leaf folding in rice,suggest to spray chloripyriphos,en
control of reddening of leaves in rice,spraying of urea of 10 grm/litre water,en
control of gandhy bug in rice,spraying of monocrotophas 1.6 ml/lit water,en
asked about ap seed corporation phone number,given him contact number,en
control of cut worm,spraying of chloropyriphas 2.5 ml/lit water,en
asked about basal dose of fertilizer application,dap 2 bags + 1 bag mop + 1 bag urea as per his feild conditions,en
rice gundhi bug,spraying of malathion@ 2 ml/lt,en
asked about 20days  rice herbicides,"recemmended weedmar 500gm/acre 2,4 d 500gm/acre",en
asked about control of gramcatterpillar,recommended to spray indaxacarb 200ml/lit,en
asked about control of weed 8 days crop,recommended to spray pirazosalfuran 5% wp 80gm/acre,en
asked about paddy fertilizer dosage,information is given as per vyavasaya panchangam,en
asked about fertiliser application,advised to give alternatly,en
control of weeds in rice nursery,spraying of butachlore 5 ml/lit water,en
asked about the control of bph,recommended to spray monocrotophos 1.6ml/lit,en
control of stem borer,spraying of 2 g cartophydrocholoride per one lit of water,en
zinc and iron defecieny,spraying of zinc and iron sulphate 2 g per one lit of water,en
zinc and iron defeciency,spraying of zinc sulphate nad iron sulphate 2 and 5 g per one lit of water,en
zinc and iron rdefeciency in rice,spraying of zinc sulphate 2 g per one liter of water,en
zn and iron deficiency,spraying of zinc sulphate 2 g per one lit of water,en
geen leaf hopper damage,spraying of imidacloprid 1.0 ml per one lit of water,en
fertilizer dosage for rabi crop,recomonded information has given,en
asked about the control of leaf folder,recommended to spray chlorpyriphos 2ml/lit,en
zin and iron defeciency in rice,spraying of zinc sulphate and iron sulphate 3 g each for one liter of water,en
zinc and iron deficiency in rice,foliar application of zinc sulphate 2 g per one lit of water,en
leaf eating cater pillar,spray endosulphon 1 ml per lit of water,en
micro utrient defecieny in seed bed,spraying of micro nutrient mix,en
asked about control of ricehispa,recommended to spray prophenophose 2ml/lit,en
control of yellowing of leaves in bengal grm,spraying of 19,en
asked about reddening of leaf tips in rice,suggested to apply mop,en
asked about leaf folder in rce,suggest to spray chlorripyriphos 2.5ml/lit,en
asked about control of gundhi bug in rice,suggested to spray chloripyriphos @2.5ml per liter water,en
asked about rice flies,suggest to spray acephate 1.5g per lit,en
asked about availabilitty of rnr paddy variety,suggested to contact ari rice research station rajendranagar,en
asked about leaf blast in rice,suggested to spray tricyclazole @ 0.6 g/lt of water,en
asked about seed source of rice,information is given as per data,en
asked about gandhi bug effected in rice fields,"recomended chloripyriphos 2,.5ml/lit water",en
paddy stem borer,chloripyiriphis 2.5ml,en
asked about control of root rot in rice,suggested to spray copper oxy chloride@3gm per liter water,en
asked about subsidy schemes for paddy driers,suggested to contact agril.officer,en
asked about stemborer in rice crop,recomended cartaphydro chloride 6-8 kg/ acre,en
asked about leaf folder in rice crop,recomended chloripyriphos 2.5ml/lit,en
paddy white fly,monocrotophos acephate,en
control of aphids in rice,spraying of monocrotophas 1.6 ml/lit water,en
asked about rice fertilizers application,information given as per data,en
asked about market price of paddy,given information as per agris net,en
asked about cotrol of blb in rice,suggested to spray hexaconazole@2ml per liter water,en
asked about stembore im rice,suggest to spray chloripyriphos 2.5ml per lit,en
asked about control of stem borer in jowar,suggested to spray chloropyriphos@2.5ml per liter water,en
asked aboput bph,suggest to spray ethofenphrax 2ml per lit,en
asked about growth in rice,suggested to spray 19-19-19,en
control of weeds in rice 15 days after transplanting,spraying of pyrajosal furan ethyle 80 grm/lit water,en
iron defeciency in rice,spraying of annabheri@ 20 gm/lt,en
asked  about improper growth of paddy,suggested to apply potash and micronutrients,en
asked about gall midge in rice,suggested to apply carbofuran 3 g@ 10 kg/acre,en
asked about rice cost,given him information as per data,en
root rot in rice,spraying of cartaphydrochloride 2 grm/litre water,en
asked about in leaf folder in rice crop,recomended  chloripyriphos 2.5ml/lit,en
control of whitening of leaves in rice,spraying of feso4 20 grm and 2 grm /lit water,en
bph in paddy,etiofenprofex 2ml/1 lit of water,en
asked asked about stem borer in rice crop,recomended cartap hydrochloride 6-8kg/acre,en
asked about flies in rice,suggest to spray acephate 1.5g per lit,en
asked about stored grain pest,given information as per data,en
asked about gundi bug damage in rice,suggested to spray monocrotophos @1.6 ml/lt of water,en
asked about stemborer,suggest to spray chloripyriphos 2.5ml per lit,en
asked about stem borerb in rice crop,recomended cartaphydro chloride,en
asked about seed availability in their mandal,given him ao phone number,en
asked about rice sowing distance,suggest him to sow 15*15cm,en
asked about control of mite in rice,suggested to spray dicofol@5ml per liter water,en
asked  about bph,suggest to spray ethofenphrax 2ml per lit,en
fertiliser doses in rice,recomended as per data,en
rice stem borer,spraying of cartap hydro chloride @ 2 gm/lt,en
gundhibug in paddy,prophenophos 2.5ml,en
asked about cultivation details of rice nursery,given as per panchamgam,en
asked about rice stemborer,suggest to spray chloripyriphos 2.5ml per lit,en
asked about leaf folder in rice masuri rice,recomended chloripyriphos,en
asked about goodgrowth of rice,suggest to spray 19,en
