QueryText,KccAns,Language
block sport in ground leavs,recomended for macozeb 600 grm/acre,en
fertilizer applied at 30 days,recommended gypsum 200kg/acre,en
spodoptera in ground nut,"thiodecarb (????????, ????????, ????) 300 ml per acre",en
spots in groundnut,"recomended for macozeb recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre ??o?????? (?????? m -45, ???????? m-45, ???????)  ?????? 500-600 ????????  200 ??????? ?????? ????? ???????? ??????",en
gypsum aplication time,recomended 200kg /acre,en
g nut leaf spots,"mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre",en
groundnut leaf folder,recommended to chlorophrypos 2ml./lit,en
ground nut wilt,drenching with blitax 3g/lit water,en
tikka leafspot in groundnut,praying of kavach 400gms/200lt,en
asked about tikka diseasse in groundnut,recommended to spray carbendazim@1gm/lit,en
ground nut yellow leaf,recomended for  z 78 400gr/acr,en
fertilizer at 30 days,recommended gypsum 200kg/acre,en
groundnut tobacco caterpiller,surksha 125gm/acere,en
ground nut mgmt,urea 10 kg/acre  and  agrominmax  5 gr/lt water,en
tikka in gnut,recomwnded saaf 400gm/acre,en
ground nut pod rot,recommended to spray spray 30 grams copper oxy chloride+ 1 gram streptocyclin per 10 litres,en
asked about leaf eating caterpiller in groundnut,recommended to spray chlorophriphos@2.5ml/lit,en
asked about pest in groundnut,"recommended to spray quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre",en
groundnut leaf spots,recommanded for kavatch 400 g/ac,en
ground nut flowering,recomended in multi k 1kg/acer,en
spodoptera in groundnut,recomended missile 5ml/10liter water,en
ground nut weedicide,recomended terga super 400ml/acre in 200 lt water,en
weed control in ground nut,no recomendation at the stage of 30days,en
asked about root rot,recommended 3 grams copper oxy chloride/lit of water,en
asked about ground nut white flies,"recommended to spray dimethoate(rogar, rogarin) 400 ml per acre",en
asked about market rates,your number is updated for market information,en
g nut  sucking pest,"recommended to spray acephate (antaf, artin, lucid )  300 grams per acre",en
yellowing of leaves in groundnut,spraying of agrominmax 1kg/200lt +zinc 400gms/200lt,en
for root insect,spraying of larvin 300gms/200lt,en
pachapurughu in groundnut,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre  ??????????????(???????? , ?????????, ????? , ????????, ?????? ) ??????? 500 ??????  200 ??????? ?????? ????? ???????? ??????",en
lepidoptera pest in groundnut,recommended spray of tracer 80ml/ acre in ground nut,en
ground nut bactrieal leaf spot,spray 30 grams copper oxy chloride+ 1 gram streptocyclin per 10 litres,en
groundnut caterpilar and jassids,recommondd spray of acephate 300 grams + nuvan 200 ml/ acre in groundnut,en
grounnd nut leafhopper,"recommended to spray propinophos (curecron, profex,don, bolero)  400 ml per acre",en
"tikka leaf spot, sigatoka leaf spot
 in ground nut",spraying of chlorothalonil 2 grms/lit water,en
ground nut cultural practices,recomnded to irrigation management,en
leafspot in groundnut,recommonded spray of avatar 400grams/ acre in groundnut,en
pod borer in ground nut,"thiodecarb (????????, ????????, ????) 300 ml per acre",en
ground nut season,recommended to sow in nov to dec 15,en
seed   treatment  of   ground  nut,seed  tretment with rizobium culture,en
weed management after 40 days after sowing,recommended hand weeding,en
asked about sucking pests,recommended di methoate 2ml/lit of water,en
groundnut seed storage,recommended application of folidal dust 5 grams/ 1kg seed,en
ground nut top dressing,recommended application of 20kg urea + 33 kg potash per acre,en
block sports on ground nut,recomended for m-45 400grm/acre,en
asked about groundut fungal disease,recommended to spray carbendazim@1gm/lit,en
tikka leaf spots on groundnut,"recommended to spray mancozeb (dithane m-45, indofil m-45, manjet)  500-600 grams  per acre ,",en
asked leaf curl ground nut leaves,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre",en
ground nut root tot,copper oxy chloride (blitox) 600 grams per acre,en
block spots in ground nut leaves,recomended for mancozeb 400g/ acre,en
ground nut  leaf spot,recomended in chloripyripas2.0ml/lt,en
leaf webber in ground nut,procline 90gr/150lit water/acre,en
aphids in groundnut,recomended confidor 3ml/liter water,en
asked about last date of ground nut sowing,recommended to sow before dec15,en
seed treat ment in ground nut,recomended mancozeb 3g/lit water,en
curling of leavs presence of insect and root rot in ground nut,"recomended to monochrotophus 1.6ml + vepa nune 5ml in lt water, metalaxil 3grms/ lt water",en
growth in ground nut,recomended for agromin max 5grams/lt water,en
ground nut leaf eating c p,"recommended to spray quinolphos(ekalux, flash, dhanulux,quinguard) 400 ml per acre",en
groundnut stem rot,mancozeb 2ml/lit water,en
ground nut tobacco caterpillar,recommended to neam oil 5ml/lit and multi k 1kg /acre,en
white flies attack,recommended rogar 400ml/acre,en
groundnut seed treatment,capton 3grm/1kg seed,en
asked about gypsum dosage,recommended to apply 200kg/acre,en
yellowing of leaves in ground nut,recomended for zinc sulphate 2grms/lt water,en
leaf webber in groundnut,recommended spray of tracer 80 ml/ acre in groundnut,en
ground nut white fly,"recommended to spray chlorpyrphos(korban, dursban, lethal, classic, radar) 500 ml per acre",en
ground nut tobacco caterpiller,proclaim 100 gram /acre in 200 lt water,en
for pod strongness in groundnut,no medicine is there,en
